,pt_6_6_4_p3_v9__50,pt_6_6_4_p3_v9__100,pt_6_6_4_p3_v9__150,pt_6_6_4_p3_v9__200,pt_6_6_4_p3_v9__250,pt_6_6_4_p3_v9__300,pt_6_6_4_p3_v9__350,pt_6_6_4_p3_v9__400,pt_6_6_4_p3_v9__450,pt_6_6_4_p3_v9__500,pt_6_6_4_p3_v9__550,pt_6_6_4_p3_v9__600,pt_6_6_4_p3_v9__650,pt_6_6_4_p3_v9__700,pt_6_6_4_p3_v9__750,pt_6_6_4_p3_v9__800,pt_6_6_4_p3_v9__850,pt_6_6_4_p3_v9__900,pt_6_6_4_p3_v9__950,pt_6_6_4_p3_v9__1000,pt_6_6_4_p3_v9__1050,pt_6_6_4_p3_v9__1100,pt_6_6_4_p3_v9__1150,pt_6_6_4_p3_v9__1200,pt_6_6_4_p3_v9__1250,pt_6_6_4_p3_v9__1300,pt_6_6_4_p3_v9__1350,pt_6_6_4_p3_v9__1400,pt_6_6_4_p3_v9__1450,pt_6_6_4_p3_v9__1500,pt_6_6_4_p3_v9__1550,pt_6_6_4_p3_v9__1600,pt_6_6_4_p3_v9__1650,pt_6_6_4_p3_v9__1700,pt_6_6_4_p3_v9__1750,pt_6_6_4_p3_v9__1800,pt_6_6_4_p3_v9__1850,pt_6_6_4_p3_v9__1900,pt_6_6_4_p3_v9__1950,pt_6_6_4_p3_v9__2000,pt_6_6_4_p3_v9__2050,pt_6_6_4_p3_v9__2100,pt_6_6_4_p3_v9__2150,pt_6_6_4_p3_v9__2200,pt_6_6_4_p3_v9__2250,pt_6_6_4_p3_v9__2300,pt_6_6_4_p3_v9__2350,pt_6_6_4_p3_v9__2400,pt_6_6_4_p3_v9__2450,pt_6_6_4_p3_v9__2500,pt_6_6_4_p3_v9__2550,pt_6_6_4_p3_v9__2600,pt_6_6_4_p3_v9__2650,pt_6_6_4_p3_v9__2700,pt_6_6_4_p3_v9__2750,pt_6_6_4_p3_v9__2800,pt_6_6_4_p3_v9__2850,pt_6_6_4_p3_v9__2900,pt_6_6_4_p3_v9__2950,pt_6_6_4_p3_v9__3000,pt_6_6_4_p3_v9__3050,pt_6_6_4_p3_v9__3100,pt_6_6_4_p3_v9__3150,pt_6_6_4_p3_v9__3200,pt_6_6_4_p3_v9__3250,pt_6_6_4_p3_v9__3300,pt_6_6_4_p3_v9__3350,pt_6_6_4_p3_v9__3400,pt_6_6_4_p3_v9__3450,pt_6_6_4_p3_v9__3500,pt_6_6_4_p3_v9__3550,pt_6_6_4_p3_v9__3600,pt_6_6_4_p3_v9__3650,pt_6_6_4_p3_v9__3700,pt_6_6_4_p3_v9__3750,pt_6_6_4_p3_v9__3800,pt_6_6_4_p3_v9__3850,pt_6_6_4_p3_v9__3900,pt_6_6_4_p3_v9__3950,pt_6_6_4_p3_v9__4000,pt_6_6_4_p3_v9__4050,pt_6_6_4_p3_v9__4100,pt_6_6_4_p3_v9__4150,pt_6_6_4_p3_v9__4200,pt_6_6_4_p3_v9__4250,pt_6_6_4_p3_v9__4300,pt_6_6_4_p3_v9__4350,pt_6_6_4_p3_v9__4400,pt_6_6_4_p3_v9__4450,pt_6_6_4_p3_v9__4500,pt_6_6_4_p3_v9__4550,pt_6_6_4_p3_v9__4600,pt_6_6_4_p3_v9__4650,pt_6_6_4_p3_v9__4700,pt_6_6_4_p3_v9__4750,pt_6_6_4_p3_v9__4800,pt_6_6_4_p3_v9__4850,pt_6_6_4_p3_v9__4900,pt_6_6_4_p3_v9__4950,pt_6_6_4_p3_v9__5000
pt_6_6_4_p4_v10__50,0.00039519579232675405,0.00040120070956318387,0.0004829272250494593,0.00046906242626701064,0.0003611764610247831,0.0004185770890288788,0.00040420553507996215,0.0004037937654837164,0.0004173702878506923,0.00039800999958598674,0.00045195468297023935,0.000523451421689806,0.0004586842755668957,0.0004492001236945,0.00041378073211126244,0.0004729669834210709,0.0005301302804115535,0.00043456885216167454,0.00041002362474936024,0.0004589063403180488,0.0004214523601411952,0.0004091411178684974,0.0003953733034501838,0.00037571460073404587,0.0004111670445273271,0.00041257288426283905,0.0003818133107955376,0.0003898628856624788,0.00039358062070264785,0.0004203146468811903,0.0004218383653159164,0.00044781188663988163,0.0004105359207824831,0.00046931754362108686,0.0004468317881751914,0.0005965031996859394,0.0006223158973729295,0.0005731826980149893,0.0005347175407441895,0.00047982743341654305,0.00044145588805119724,0.00038890484735450116,0.0004464799131396482,0.0003950893914874961,0.0005415757490212177,0.00045705977023068403,0.0004307285690372678,0.00047830754276692334,0.0003941684441184283,0.00040989896900707273,0.0004269708860550202,0.00041634147543861705,0.00039117148243629084,0.00043340132254317796,0.00042048476940764875,0.000445481809483918,0.00046359486461749073,0.000458509323726982,0.00046424495225077904,0.0004808123129503878,0.00044810165119132527,0.0003893711582440639,0.0004477532605477183,0.000451284351078061,0.00045758398959637047,0.00046739773009726654,0.0005188811571183373,0.00045433342073810713,0.0005426938160143051,0.000616200516400731,0.0005507159145336704,0.0004212512758777785,0.000502707035655844,0.00047334142370376213,0.0004426901931324408,0.0004920915381941256,0.0004310263896967499,0.00044442394980232316,0.00041757076114137066,0.0004183662179561685,0.0004044586727747449,0.0004163206517753517,0.00038680173997224156,0.0003875274230092963,0.00041424659216856847,0.00039505940211474934,0.00039132148870003696,0.0004526194094704848,0.000459010681706997,0.00043563495350116584,0.00042744472778896074,0.00044301224541257997,0.00045962560428996677,0.0004341519396509789,0.00033903940289970336,0.000398264116771401,0.00039556171639001264,0.00038877300918567834,0.00040815233799614383,0.00040738867875226957
pt_6_6_4_p4_v10__100,0.00026689727487909734,0.00023108236315200225,0.0002643269787394953,0.00025129020753826277,0.00019606002307791278,0.00030268729910309814,0.00028909362965123234,0.0002879229875736015,0.0002971293102590133,0.0002816705176095362,0.0003295484035914634,0.0003807714352549045,0.00033843561097212206,0.00033398481833156685,0.00029411050025110615,0.0003130191698723766,0.0003675493825708809,0.00031449810515750377,0.0002948539394269705,0.00033757351083981714,0.00030608573630673866,0.00029836031977674757,0.0002797467466859356,0.00026631649476424916,0.0003011237492988835,0.0002736546732438623,0.00027615342232247474,0.00027548448026216315,0.0002787329592716752,0.00030134625454304866,0.00030322599694123834,0.00032797940275653266,0.00029572247193530214,0.00033191346238068987,0.000326829485217653,0.0004539931998700554,0.0004799060657263934,0.0004301626997250161,0.0003951136104516657,0.00035579039039973807,0.00032410657571208944,0.00027185982525434327,0.00032910862994341627,0.0002605521566209643,0.00038046574450064226,0.0003414314297992518,0.00031011173846897733,0.00032748824946205655,0.0002737153642602111,0.0002909048474157002,0.00028290423772823467,0.00029572410127000457,0.00026010005356042555,0.0003085880506165173,0.000297336780201447,0.0003196079938251244,0.00033037424183884195,0.0003345102268656291,0.00034580939377414993,0.00035620930684773447,0.0003284035748853531,0.0002737442000963037,0.0003303098765675256,0.0003324343696888824,0.0003302479646173203,0.00032305709952629256,0.0003745394898537114,0.0003103396235977773,0.00039897062848646134,0.00047186107211798656,0.0004063760505206178,0.0002797982410481366,0.00035836579840206487,0.00033153973142448565,0.0003027445696642116,0.00034775155856882833,0.000308805654365952,0.0003016342749932366,0.00027568407604676177,0.00027402466474358227,0.0002785226368959042,0.0003044653663168281,0.00026936102628409824,0.0002774233173669826,0.00029157316908827853,0.00027995486362063313,0.00027617730835234464,0.00030441231598475783,0.00030605345141082976,0.0003048344564586918,0.00031436400835593067,0.0003041373430836656,0.00030341258664410024,0.0003127760671337366,0.00024104086925928075,0.0002774879934247272,0.00019192874297085613,0.00021280670799683229,0.0002444346922496613,0.0002461335788053662
pt_6_6_4_p4_v10__150,0.0002597429518215335,0.0002188576204041355,0.00014226378915166044,0.00014613081981179374,0.00020439309436403902,0.0003236130800811228,0.0003022603883608667,0.0003125938162990271,0.00029136853181035283,0.00029038082725446975,0.0003199317213465492,0.00033265690247030234,0.0003291952305613036,0.0003280867165426348,0.0002982350384182122,0.00031517851825378006,0.0003365470661814666,0.00030804324805497915,0.0003213998529514704,0.00032817604779798953,0.0003027719549893043,0.0003030419932547671,0.0002887876847008251,0.0002827262324752974,0.00035367121721787987,0.00031973810690373426,0.00031538353774061866,0.00031241396166190716,0.0003281066446485391,0.0003087251467539567,0.00030759503806695624,0.00031130304885762576,0.000309730849108068,0.0003207480972783942,0.00032073986934250717,0.0003829269564998417,0.00040903026297868094,0.0003591215464983536,0.0003466800544426321,0.0003352170935818025,0.0003157208916227627,0.00026200095865748746,0.0003089724579183509,0.00025610519061385105,0.00033979757156031055,0.00032159959594607926,0.0002864907852731284,0.0003063679517736787,0.0002689561472281817,0.0003091283265168938,0.00027725171866240536,0.00027751699512522436,0.0002605415037475018,0.0002824044677287188,0.0002797350853268022,0.000295371504719867,0.0003053837057303441,0.00031356423576143285,0.00032519753487575783,0.0003317040500521015,0.00030912713548689495,0.00028305208600926877,0.00031967603522134344,0.0003121812400502571,0.0003099125400579096,0.0002719195793105928,0.0003040744225972371,0.0002659086575214962,0.0003351439331824904,0.0004015257896628676,0.0003348889671319668,0.0002680864019085682,0.0003344607826967016,0.00030698824492595003,0.0002820399508914871,0.0003188113535998798,0.0002884791533046549,0.00027392534057433615,0.0002529325304793779,0.00024893533261475826,0.0002682839179521618,0.000294335088214938,0.0002775450588498592,0.00027498188954720205,0.00029517900525241554,0.00030406820652561183,0.0002890024239382805,0.0003021686110824872,0.00031863471884664084,0.0003198733960075198,0.0003434490480601117,0.00032839965311359993,0.0003130920620162946,0.0003453445075025863,0.00027717424293324225,0.0002677196137302062,0.00016097534510693508,0.00019274056321642044,0.00021500576722262608,0.00021713431502559888
pt_6_6_4_p4_v10__200,0.00022281178600469265,0.00018028010639311876,0.00019051102630239145,0.00017552464255796748,0.0001631503358556338,0.0002634905841731438,0.0002456783974369082,0.0002573154465576868,0.0002490208553291309,0.00023985140433432884,0.0002785171522959371,0.00033313069982751755,0.0002879073873027783,0.00028539823225,0.0002576337970871176,0.00027357757580339834,0.000307733310597812,0.00026758092074808813,0.0002711450010289026,0.00028763331778874587,0.0002623096283413765,0.0002673532400670099,0.00024819644324592733,0.00024215262953029978,0.00028352281799263795,0.00024963617674489397,0.0002481099927686896,0.00025150956832943345,0.00025660305047737857,0.00026598937672958877,0.0002661066469254088,0.0002792815976496275,0.0002633728200990183,0.0002893680231034066,0.0002748115053013778,0.0004058421905574135,0.00043208378777045205,0.00038217235803102633,0.00034729802175067847,0.0003046727503747201,0.000273886574439783,0.00022387081908789209,0.00027749484790363547,0.00021655432563307594,0.00031038638869528555,0.00029132267099674406,0.0002552282788456209,0.0002674555267398214,0.00022182976681739386,0.00024060430993340224,0.00023260945007970134,0.00023645990980252524,0.00021034701008993876,0.00025280644236794507,0.0002504778488230973,0.0002675421810923328,0.00027545566941636194,0.00028277575266311643,0.0002948849110009475,0.0003007448429129983,0.00027710945473361924,0.00023675919760834225,0.0002837926230770777,0.0002812560586461929,0.00027895329768287127,0.0002756437895091856,0.00032712484240900294,0.0002622797364914867,0.00035086529086402016,0.00042594111875617866,0.0003589268862200574,0.00024236105825640493,0.0003096973342626646,0.0002828032319917798,0.0002570825205381466,0.00030321543978101105,0.00025752455408884026,0.0002526262885558046,0.0002270280912277158,0.0002272953663216453,0.0002383714938618437,0.0002633108062658869,0.00022995808290248438,0.00024059164030604615,0.00025084803943402654,0.00024538894687968564,0.00023869648192222936,0.00025499167234479267,0.00025793961099596915,0.00025881972669455683,0.0002830381895060438,0.00026649968719294703,0.0002576748826913872,0.0002844102280343057,0.00021489465972056174,0.00023148989597870245,0.00011918230398114436,0.00016079803914879827,0.00018575504640263988,0.0001841382824813091
pt_6_6_4_p4_v10__250,0.00022831655150447314,0.00019082097069259295,0.00015559953362630907,0.00014485457106443964,0.0001770899446891267,0.00028364234212464065,0.0002701901100737403,0.00027987940631367836,0.00025809838546540727,0.00025301193971456146,0.0002858416117793646,0.0003116910605456261,0.0002964050012638563,0.00029602984669109707,0.0002683541626367253,0.0002833211534986838,0.0002998348210481128,0.00027799418242103547,0.0002888119158247042,0.0002985064190922829,0.0002732320748067088,0.00027365120413061744,0.00025910455750496387,0.00025264766239362,0.0003126281228945942,0.000279076950962826,0.0002747787569662161,0.000271868015660512,0.00028755906029557333,0.000277301700045399,0.00027720087393270454,0.00027768394045897104,0.000272347276010882,0.0002918960394726539,0.00028132445406961476,0.0003793252116718845,0.00040556365962903727,0.00035565507107071905,0.0003207794417938757,0.0002957481484807984,0.0002835578042994396,0.00023065319725846216,0.00027213146348626033,0.00022218734008130501,0.00030175534061333855,0.0002834747338027287,0.0002500790922575958,0.0002630833456935632,0.00022843654088054678,0.00026522104136844594,0.0002438359032085477,0.00024276490753720697,0.00023007895784692324,0.00024531511796019046,0.00024441673054939454,0.00026373773074137995,0.0002705009719778289,0.00027478687841369026,0.0002905597592437444,0.0002892054015199553,0.00027242895414419645,0.00024665368944868076,0.00028434156228128373,0.00027385261690715567,0.00026990126043512276,0.0002531302445951257,0.0003013881995831169,0.00023576093893890222,0.00032434483809648475,0.0004033280476013704,0.0003365312398997573,0.00023168473531366126,0.00029310163496498026,0.0002683077496964199,0.00024995320730187794,0.0002966865170237863,0.0002456395842283048,0.00023080408318248475,0.00021144343849260325,0.0002132691278129741,0.00023116903050244452,0.00025831147602725787,0.00023304552162533535,0.00023288784889453437,0.000255177146334492,0.0002626780663341889,0.00024831349056732695,0.00026071432632151874,0.0002748468675245703,0.0002738949177590501,0.00029569556885786355,0.0002810025853498997,0.00026881344274855344,0.0003015930567298597,0.00023152958806961857,0.00022341753194392815,0.00011753292869933293,0.00015726185185333699,0.00017917233297593216,0.00017615806977308286
pt_6_6_4_p4_v10__300,0.00019516985577971513,0.00015343806721886214,0.00017189609776156276,0.0001646139163901132,0.000192613764703387,0.0002725605209896378,0.00024159101587641833,0.00025231507780131555,0.0002439781366098293,0.0002488044064592796,0.0002593169474811749,0.0003428093884342815,0.00027299432257441773,0.0002694206980352709,0.00024165041601576106,0.0002583256372513219,0.00028621697055786915,0.0002515698795930094,0.0002615754803894588,0.00027190389470840783,0.00024644875940491864,0.0002465559582373433,0.00023230757880093753,0.00022614095067154626,0.0002849776843274255,0.00025110596177731014,0.00024706498359292154,0.000244191561144366,0.0002593936169140304,0.00025010471193786697,0.0002502213065631627,0.00025598807057017944,0.000250224987241863,0.0003106324023406878,0.0002769451561422193,0.00041542798111962576,0.00044124086967860606,0.00039210817365877015,0.00035538090630907995,0.0003140605533677824,0.000256812441653794,0.0002110300981480276,0.0002525009424248712,0.00019524489984698595,0.00028521878444943976,0.0002667274855823695,0.00023024683185042833,0.00024429322760975247,0.00020628289693803642,0.00023786140790611857,0.00021505162031997088,0.0002173453258503086,0.00019719979782535885,0.00023009067156989332,0.00023383534767851315,0.00024669308145066086,0.00028462540269746207,0.00026194556367596086,0.00027077048702401913,0.00027681791947166824,0.0002711540882895889,0.00022384142557988032,0.00028989855525726364,0.0002672077193222971,0.0002769695612002865,0.0002892047413243853,0.00033780487498369935,0.0002732553050879559,0.000361618327355586,0.0004400419018580057,0.00037274440491710337,0.0002550771191175197,0.0003216467184440309,0.0002939867498446251,0.00027746541839812606,0.00032785871366102604,0.0002346425835873004,0.0002636498047464814,0.00023968155641379085,0.00024133849066518027,0.00021779873198118688,0.0002433910594978578,0.00024043684860784728,0.00022124183525745565,0.00023804298855278612,0.0002444456872344665,0.00022949335994514015,0.00024261440338013495,0.000256785103220692,0.0002556455670277338,0.0002754256060545924,0.0002604533577878315,0.0002503363991930721,0.00028129222962861223,0.00020989776905759285,0.00020954480441500313,0.00010478561771018135,0.0001399392683347198,0.00019133826753630248,0.00016288742351575823
pt_6_6_4_p4_v10__350,0.00017181596019388737,0.00018078280812813103,0.0002116119252528857,0.000202630780293144,0.00023693135352839765,0.00030222768607780835,0.00025209046952591306,0.00025833086934866237,0.00027127947311598576,0.0002729644389743831,0.00027688717894142604,0.00038237283125069986,0.0002997447754011814,0.00023934730830996398,0.0001890274957919622,0.00020763227927621017,0.0002404953849885113,0.00019843741443143284,0.0002069304011848892,0.0002882522120069118,0.00022067119080041478,0.00022807829410274018,0.0001808411844413462,0.00017310496716704983,0.00023822337964632008,0.00020071681325712541,0.0002390678403759145,0.00020872627346043055,0.00020873652957314264,0.0002026863505950431,0.00022379829850494983,0.00020735607303745538,0.00025022641576832703,0.0003488587813563659,0.0003164942300541109,0.0004547169065660682,0.00048044875003413145,0.0004313152998627678,0.0003928505606248026,0.00034795254157811916,0.0002335520650613568,0.00024082437601578296,0.00019732991174666633,0.00014463164026600714,0.0002371809989858525,0.0002112475709857877,0.00018179705552439084,0.00019608822064845878,0.00015426203828425446,0.00018787462506576573,0.00016675860598897732,0.00016410442127318651,0.00015585256849682345,0.00019602278032496837,0.0002732774736366341,0.00020105031577917108,0.00032406783091029726,0.00026177505534074187,0.00030336891267118547,0.00022765200950191245,0.0003078482842003614,0.00020074250670180238,0.00032828909022824556,0.0002900892119103457,0.0003164110192124954,0.0003286445197568351,0.0003770153479364639,0.00031246343582957373,0.00040082581685305996,0.0004793465155746717,0.0004121830723516126,0.0002955917013183339,0.00036084972855080215,0.0003337533356310971,0.00031838041745744323,0.00036264755946585056,0.0002079525127046092,0.00030285214969664727,0.0002818760102538967,0.0002807726799689405,0.00021436323272935856,0.00019682492994205165,0.0002821897517440152,0.00024072188955782953,0.00024508882867860596,0.0002058095769387543,0.00018789176013337078,0.00020146771729151312,0.0002147349606703556,0.0002123819344953467,0.0002271795859179249,0.0002114434086184865,0.00020703930225259075,0.0002377319080055764,0.00016045795885511865,0.000164786484680754,0.00014533310621428643,0.00016270195083419053,0.0002308136767451693,0.00012089345921460941
pt_6_6_4_p4_v10__400,0.00018315570719054913,0.0001541500057184161,8.93578958964178e-05,9.893250315143993e-05,0.00016525349140906237,0.0002424536921179985,0.00023783024429940104,0.00023536310907098376,0.00020654247959295296,0.00021365173288136533,0.00022151020331605714,0.00027945086261338826,0.00023367596998479496,0.0002296606727410506,0.00020842354524053987,0.00022570453471959653,0.00021242794339132166,0.00021559695659133934,0.00026192907972271334,0.0002348108662044148,0.00020916027375663342,0.00020987480064255012,0.00021428839762284535,0.00022159695238828337,0.0002967020520269349,0.0002641597799494673,0.00026021016919916366,0.0002585416434027122,0.00027256272267185726,0.00024677957093164075,0.0002446764948411263,0.0002109017930760007,0.00023945774945195253,0.00028493281128529985,0.00025516841001231675,0.0003299796239760938,0.00035491470025585234,0.00031206557221217867,0.00028446051979781606,0.000257662390633016,0.00022872217745902168,0.00024035216818220736,0.00020275409228649955,0.00020634135789607128,0.0002132971900652997,0.0002026736922142289,0.00017936598820249356,0.0002104789112122486,0.00023164979260314347,0.0002507652851552378,0.00021333346290692515,0.00018905566371803123,0.00019740099452387197,0.00021076954890871408,0.00017563434672729833,0.000175848960259209,0.0002127263619592487,0.0001954168458802908,0.00022690307860807107,0.0002070223088096258,0.00023073709384224114,0.00020753057241382005,0.0002583471564971254,0.00022039081377649462,0.00021697516155810468,0.00021431547045749108,0.00025204568610174844,0.00018872174506744387,0.0002741756860663646,0.0003548118043794117,0.0002876567091155024,0.0001778742909984589,0.00023553466051916684,0.00023225167805291126,0.0002475208547089568,0.00028346068096919447,0.00017116545397333357,0.00018665859536559732,0.00018518786965193948,0.00017044487420378972,0.00014970552774530292,0.00017145523292420807,0.00020663525465592072,0.00017476713459737135,0.0002083950045899376,0.0002256942844990917,0.00023219720751954795,0.0002138032071218431,0.00023625172872037315,0.00023396396345933486,0.00029647392401888626,0.0002776996954920158,0.00022719982655893675,0.0002652434941848066,0.00027893905250661713,0.00016564600776268837,6.996951560224819e-05,8.582026265039517e-05,0.00012136112248200138,0.0001130321063342865
pt_6_6_4_p4_v10__450,0.00012088146206941162,0.00012092466937156067,0.00017969844124702769,0.00017708601168891163,0.00019241410600750292,0.00026528789581647174,0.0002113233502148763,0.00021861921891654448,0.00023546678169654445,0.00023527188550235948,0.00024847281174681697,0.0003632613714392646,0.0002675944086530581,0.00019948026580753232,0.00016102793268629528,0.00017827607772736897,0.00022765333183957852,0.00017815089047120965,0.00017749579878949503,0.00025634178437941173,0.0001819621677841344,0.00019203350529373818,0.0001517604201906166,0.00014570451531562567,0.00020273816821370495,0.00016950211748782769,0.0001951092730148007,0.00016719089969575475,0.00017745501886500608,0.00017199495783104448,0.00018038111737643975,0.00019326111898827392,0.0002038736847665586,0.00031697610843855876,0.0002876772758823922,0.0004358126312829042,0.00046148232490288404,0.00041234822356935757,0.0003753348837865038,0.00032128279613417783,0.00019506622882208566,0.0002464988572253891,0.00018066734163629542,0.00014104744412295902,0.0002262802032185464,0.00020014221404035683,0.00017104726191268863,0.00018430278692589558,0.00016435860816743923,0.0001574926835233598,0.0001429531637673728,0.00015327806704206693,0.00011931706165125772,0.00019369865976574493,0.0002524662479875076,0.00018603792365853457,0.0003031563527196375,0.00024090831242285825,0.0002856033664144248,0.00021463059011591357,0.00028988632075402663,0.00016398543199413448,0.00029219796773934657,0.00025934144309993414,0.0002967578294331469,0.00030772394087878383,0.0003580420980708968,0.0002934939829960659,0.0003818535931623986,0.00045842548916233633,0.00039128283248586194,0.0002737683928539065,0.000341943493118002,0.00031268854142010085,0.00028633733648658085,0.0003347432082529398,0.00018904757987957735,0.000283997240202194,0.000258286672337424,0.0002599180097343584,0.00019350848291330435,0.00018172231018555643,0.0002463770442649665,0.0002184013570161283,0.00020373814560205794,0.00017749131236348875,0.00017877395455354988,0.00017764775665004307,0.00019157042648449132,0.00018812143609131226,0.00021553566521865326,0.00020068643068280848,0.00018281160330944915,0.00021315137869392137,0.0001976273550676881,0.00013571519499463414,0.00011319570932656983,0.0001416498222124472,0.00021163226351402598,0.0001068419487314373
pt_6_6_4_p4_v10__500,0.00022972058647879732,0.00023802728547037312,0.0002826591548791922,0.0002666907879997632,0.0002789821099399279,0.00034506497082914365,0.0002889730180380263,0.0002990886755303706,0.00031766571842475666,0.00031338695548130933,0.00032743561000817483,0.00044291284945529485,0.00035073012193074057,0.00027073268711034956,0.0001446660712776801,0.00012370668995286856,0.00018103007637347882,0.00014581594707588732,0.0001662957105765422,0.0003394849387308331,0.00025083415886562087,0.0002675496338409471,0.00018453985225277758,0.00016014231191236028,0.0002473444951965866,0.00013527693314046581,0.00025966100671923786,0.0002219624046157189,0.00015997312408866268,0.000220122460255234,0.0002625271412937003,0.00025777769508956397,0.00027675548909999185,0.0003972697054501016,0.0003720302009663513,0.0005155287518269201,0.0005413232909662613,0.0004921896096105502,0.00045513872208643053,0.0004009271904490038,0.00027496264235046656,0.0002910902303416814,0.0002114444824885701,8.678280393829815e-05,0.00017915692106733192,0.00018315712367681427,0.00017890816989213676,0.0001372921243880178,0.00017385759477013272,0.0001237543737210927,0.0001014349478898821,0.0002050399033210878,0.00013013107944328487,0.000255465605503036,0.0003300064866474775,0.0002330564148803685,0.0003826012544091707,0.00032069187992148676,0.00036533286126579415,0.00023496433818382496,0.00036967910199025097,0.0002349836202166399,0.0003678770387446666,0.0003336672816123726,0.00037659164832709753,0.00038640463082389846,0.0004378864858102453,0.0003733398239665998,0.00046170152282868217,0.00053622096624661,0.0004697233975651476,0.00035097690601088504,0.0004217482116585896,0.0003923737600462948,0.00037065634430973634,0.0004132383070483219,0.0002688517036636538,0.00036375428076745663,0.0003399927545778221,0.00033744735523501214,0.00027082712265935486,0.00023503562847296473,0.0003324874134539349,0.0002963931487998513,0.0002917758771067802,0.00023762175967580396,0.00015931937856381636,0.00013420979152700381,0.0001384783558273335,0.00013413230529437482,0.0001453611615280551,0.00013159499629625162,0.0001277849242908201,0.0001586350162046686,0.00015497193245492084,0.00020447281444235688,0.00020177904054506266,0.00022104816144235815,0.0002914403351453452,0.00018025094056392597
