,pt_6_6_4_p3_v9__50,pt_6_6_4_p3_v9__100,pt_6_6_4_p3_v9__150,pt_6_6_4_p3_v9__200,pt_6_6_4_p3_v9__250,pt_6_6_4_p3_v9__300,pt_6_6_4_p3_v9__350,pt_6_6_4_p3_v9__400,pt_6_6_4_p3_v9__450,pt_6_6_4_p3_v9__500,pt_6_6_4_p3_v9__550,pt_6_6_4_p3_v9__600,pt_6_6_4_p3_v9__650,pt_6_6_4_p3_v9__700,pt_6_6_4_p3_v9__750,pt_6_6_4_p3_v9__800,pt_6_6_4_p3_v9__850,pt_6_6_4_p3_v9__900,pt_6_6_4_p3_v9__950,pt_6_6_4_p3_v9__1000,pt_6_6_4_p3_v9__1050,pt_6_6_4_p3_v9__1100,pt_6_6_4_p3_v9__1150,pt_6_6_4_p3_v9__1200,pt_6_6_4_p3_v9__1250,pt_6_6_4_p3_v9__1300,pt_6_6_4_p3_v9__1350,pt_6_6_4_p3_v9__1400,pt_6_6_4_p3_v9__1450,pt_6_6_4_p3_v9__1500,pt_6_6_4_p3_v9__1550,pt_6_6_4_p3_v9__1600,pt_6_6_4_p3_v9__1650,pt_6_6_4_p3_v9__1700,pt_6_6_4_p3_v9__1750,pt_6_6_4_p3_v9__1800,pt_6_6_4_p3_v9__1850,pt_6_6_4_p3_v9__1900,pt_6_6_4_p3_v9__1950,pt_6_6_4_p3_v9__2000,pt_6_6_4_p3_v9__2050,pt_6_6_4_p3_v9__2100,pt_6_6_4_p3_v9__2150,pt_6_6_4_p3_v9__2200,pt_6_6_4_p3_v9__2250,pt_6_6_4_p3_v9__2300,pt_6_6_4_p3_v9__2350,pt_6_6_4_p3_v9__2400,pt_6_6_4_p3_v9__2450,pt_6_6_4_p3_v9__2500,pt_6_6_4_p3_v9__2550,pt_6_6_4_p3_v9__2600,pt_6_6_4_p3_v9__2650,pt_6_6_4_p3_v9__2700,pt_6_6_4_p3_v9__2750,pt_6_6_4_p3_v9__2800,pt_6_6_4_p3_v9__2850,pt_6_6_4_p3_v9__2900,pt_6_6_4_p3_v9__2950,pt_6_6_4_p3_v9__3000,pt_6_6_4_p3_v9__3050,pt_6_6_4_p3_v9__3100,pt_6_6_4_p3_v9__3150,pt_6_6_4_p3_v9__3200,pt_6_6_4_p3_v9__3250,pt_6_6_4_p3_v9__3300,pt_6_6_4_p3_v9__3350,pt_6_6_4_p3_v9__3400,pt_6_6_4_p3_v9__3450,pt_6_6_4_p3_v9__3500,pt_6_6_4_p3_v9__3550,pt_6_6_4_p3_v9__3600,pt_6_6_4_p3_v9__3650,pt_6_6_4_p3_v9__3700,pt_6_6_4_p3_v9__3750,pt_6_6_4_p3_v9__3800,pt_6_6_4_p3_v9__3850,pt_6_6_4_p3_v9__3900,pt_6_6_4_p3_v9__3950,pt_6_6_4_p3_v9__4000,pt_6_6_4_p3_v9__4050,pt_6_6_4_p3_v9__4100,pt_6_6_4_p3_v9__4150,pt_6_6_4_p3_v9__4200,pt_6_6_4_p3_v9__4250,pt_6_6_4_p3_v9__4300,pt_6_6_4_p3_v9__4350,pt_6_6_4_p3_v9__4400,pt_6_6_4_p3_v9__4450,pt_6_6_4_p3_v9__4500,pt_6_6_4_p3_v9__4550,pt_6_6_4_p3_v9__4600,pt_6_6_4_p3_v9__4650,pt_6_6_4_p3_v9__4700,pt_6_6_4_p3_v9__4750,pt_6_6_4_p3_v9__4800,pt_6_6_4_p3_v9__4850,pt_6_6_4_p3_v9__4900,pt_6_6_4_p3_v9__4950,pt_6_6_4_p3_v9__5000
pt_6_6_4_p4_v10__50,0.00021780450826609684,0.00021646966495144452,0.00025838829200094655,0.00028954006521055096,0.0003128241823795107,0.0002864386920930788,0.00028609508187215043,0.0003157163545385096,0.0002687854180362618,0.00026855870044099135,0.0002583277197284726,0.0003198342316009749,0.0003118687842702066,0.00030708012733649025,0.0003415574001360641,0.00038345163738074913,0.0004028533784411829,0.00042001694809642694,0.0005173590991874174,0.00047775373587242867,0.0004897043107585791,0.0004251380112435175,0.00041245609205380757,0.00038633313330121765,0.00035820564097111023,0.0004268510782476637,0.0004066889033465571,0.0004363742198010543,0.00037499223156430564,0.0003284316171550009,0.0003330242306326083,0.0003384223080368789,0.000337870653487446,0.0003891004961457224,0.0004580998303900968,0.0003971262551916122,0.0003972652142813437,0.0004017008878346701,0.0005045968248367741,0.0005544529310976913,0.00045225780399137745,0.00037773744380324205,0.00041435744008099266,0.000456935627924416,0.00045295885473935996,0.00041176103822094097,0.00036257415928333983,0.0005291094865880943,0.0003769379163812173,0.00048389466343980603,0.0004969280392494289,0.0005300577714735677,0.0005386415455321913,0.0004868917395935796,0.0005424053320196955,0.0005392589534293896,0.00037786075912405056,0.00048003367669143264,0.000358744601221072,0.0002619010685908148,0.0003046658011042965,0.00028459101794284556,0.00047567495458417943,0.00044090352514893554,0.0005798958781294929,0.0005400118405423797,0.0006213842290062555,0.0006412596631803206,0.0006392613471285756,0.0006293615541819936,0.0005756035335768263,0.0004920179333736774,0.0005190408832044872,0.000498785403967763,0.0005654105643882097,0.0005292470251647143,0.0005813349764421978,0.00060343723449267,0.0005830103831433252,0.0005867469874653352,0.0004534527347869208,0.0003694914808463545,0.0003887587811524543,0.0005576884894031276,0.0005822130011795398,0.00043948397529644317,0.0005241586968169831,0.0005354244300521537,0.0005939408024233687,0.0005904359548392371,0.0005553336967415337,0.0005902307367356049,0.0005515159411159776,0.000547349873023913,0.00046871063640212463,0.00024047424769657008,0.0003420840023108051,0.0003435904050338687,0.0003729942622390094,0.00038675610756186874
pt_6_6_4_p4_v10__100,0.00030026666840233846,0.00019659603425368425,0.0002541790049017796,0.000248779635281156,0.0003108478476572395,0.0002782366952615933,0.0002737768311975484,0.00031388698938516606,0.0002693173723742779,0.0002317379959468748,0.00027722971652544405,0.0003452893239190645,0.0003404768604019814,0.00033439102093849445,0.0003707534694223946,0.0004255568669474446,0.00038149102865974057,0.0003767413039242374,0.0005594655962864023,0.0005197703129587347,0.0005314428400076915,0.000467245007356562,0.0004545611505568853,0.0003672927790629672,0.0003214289460056572,0.00038357384323918926,0.0003709902075165934,0.0003927310409557712,0.0003342580117569365,0.0003548569917762039,0.00034069875319187997,0.00035489035195353485,0.0003782767991033343,0.0004166355749482143,0.0004157034753048247,0.0003880809726261467,0.0003911326019104394,0.0003934396770734313,0.0005531492174715977,0.0006084811689096375,0.0005008106854383567,0.0003613082686365769,0.0004447999138281837,0.000494344912749125,0.0004950657262868792,0.0004606812061865826,0.0003576382162613445,0.0004938046616274321,0.00036390309811072837,0.0004483025176989273,0.00045545279837897997,0.0004890236472038266,0.0005020988833310381,0.0004454175213596573,0.0005071028188842054,0.0005035463494470363,0.0003526103181365626,0.00044146205964277986,0.00038356986081214606,0.0002951131935157483,0.0003317213892997608,0.00024082114180808267,0.00044036868516789904,0.00040559900819624347,0.0005445884437654417,0.0005047087938197261,0.0005860809052896054,0.0006059558171251316,0.0006039583687455248,0.0005940543317877216,0.000540301354897554,0.00045671356658324937,0.0004837353570413742,0.0004634807133404762,0.0005301076925867592,0.0004939425255852511,0.0005460288852636467,0.0005681341108910252,0.0005477064482998437,0.0005514429868905435,0.0004181516276999948,0.00033418807902238664,0.0003534550897216123,0.0005223846877465025,0.0005469068422631205,0.0004052988509367079,0.0004888559590562902,0.0005001199844757953,0.0005586378747367598,0.0005551313233966521,0.0005200316230217514,0.0005549268352553118,0.0005162108520005857,0.0005120464934286667,0.00043340696816536255,0.0002668093719098165,0.0003281962675513513,0.0003298788567888387,0.000360832825732619,0.00036597590938747943
pt_6_6_4_p4_v10__150,0.0002561922968872663,0.0002489057242657213,0.0002883663225820912,0.0002837882518992684,0.0003038080386147396,0.00027301663727888987,0.0002807175820141372,0.0003033654697551084,0.00027424263796035496,0.0002556238284378723,0.00028873781909781915,0.0003367235517255946,0.000323973259936358,0.0003095472060688137,0.0003676912583082471,0.0003894640639343878,0.0003771694095175259,0.0003849929702050845,0.000523372645019749,0.0004840211299778032,0.0004959684988180442,0.0004314579446336783,0.00041846558137986474,0.00035414244495295653,0.0003311643666168583,0.00039182621445137805,0.00037607632653714935,0.0004016034642188996,0.0003420386533535206,0.00032701751084860797,0.0003231058227987031,0.00033696954666169975,0.0003539704677681914,0.0003811605270398615,0.00043335097140358896,0.00039373822600601954,0.00040178398615878263,0.00039867591289623227,0.0005252643270566126,0.000589219370292584,0.0004729232309678193,0.000378480489013823,0.0004169138947109766,0.00045887486362107565,0.0004589712436567369,0.0004371002150549399,0.000363351509144641,0.0005182628711658544,0.00038071851106185066,0.00047275866127382876,0.00048309751051020793,0.0005161397192671573,0.0005265550774312566,0.000472972640651062,0.0005315576698192808,0.0005280049393506743,0.00036963786122961814,0.0004659172458258144,0.00035568288644617874,0.00026892056989672375,0.0003071314870899924,0.00027071950207775686,0.00046687880176512163,0.00043665194701835526,0.0005690485895600835,0.0005291649395239384,0.0006105371177378297,0.0006304111952908416,0.0006284150629006652,0.000618512892604715,0.0005647578421171806,0.00048117204787043747,0.0005081916848628872,0.0004879384161689186,0.0005545635621737851,0.0005184005583073787,0.0005707868427532927,0.0005925895977475254,0.0005721620523938889,0.0005759006713067584,0.0004426058794090369,0.0003667368240737516,0.0003829225762876884,0.000546840946686312,0.0005713644530122345,0.0004286367941711626,0.0005133128047983076,0.000524576068001308,0.0005830959087559742,0.0005795892992612139,0.0005447918629680425,0.0005793824116497122,0.0005449960488189444,0.0005365029390273675,0.0004593484679179894,0.00026775076204302317,0.000345571448281915,0.0003440658844768214,0.0003787531803747471,0.00038385679902039896
pt_6_6_4_p4_v10__200,0.00023351490544622536,0.0002691856655544008,0.00031225708780943705,0.0003244327275335555,0.000326911140938435,0.00031508363161598485,0.00033218082316942965,0.0003385413660292988,0.0003246426726794529,0.0003207874155558283,0.00033716609385571255,0.0003801328176551593,0.0003706194656670972,0.0003567146308520137,0.0003859964901570767,0.00040135520364554926,0.0004236196639506904,0.0004308235932479654,0.000515201859448066,0.00047673736054570774,0.0004886899666979252,0.0004330613248679968,0.00041029730880482547,0.00039356064685881574,0.0003780293690276315,0.00043744363831265553,0.0004223606247935294,0.0004481107792411724,0.00038593439888773875,0.00036028405892270666,0.00036549405165716965,0.000377972047594282,0.00036089197862309826,0.00039837784461796704,0.00047044224092945245,0.0004371780596866319,0.000440326623896948,0.0004416211752789904,0.0005289750912664535,0.0005877767466931474,0.00047583340260544155,0.0004181618439668389,0.0004373894826535609,0.00045596598281147317,0.00045151030262112273,0.0004347680779836512,0.00039774689545607977,0.0005550145660635308,0.00041859312266164406,0.0005121420662713408,0.0005251748364378017,0.0005583056021172168,0.0005668891804459392,0.0005151391638805569,0.0005683101027181633,0.0005675049887376026,0.0004141899040140701,0.0005056066343808957,0.0003800346332841877,0.0002987927285956337,0.0003378699051264943,0.0003428461077623795,0.000504301581862974,0.00047771145874924244,0.0006057982850200597,0.0005659157131560154,0.0006472869015353601,0.0006671629520066317,0.0006651664300586407,0.0006552650738156973,0.0006015077317898356,0.0005179224549257765,0.0005449449095613714,0.0005246893912231236,0.0005913128350848613,0.0005551515279868097,0.0006074113309185715,0.0006293414902571147,0.000608914612338733,0.0006126523367199288,0.00048705860931289925,0.00042993918512975187,0.0004468088561167244,0.0005835931643338748,0.0006081164314268785,0.0004653900805149805,0.0005500623835798178,0.00056132768276078,0.000619848123319707,0.0006163403729639587,0.0005814183433980823,0.0006161335470086716,0.0005824183861503876,0.0005732533193714155,0.0004971028777467725,0.00031905055856516556,0.0003870794961708129,0.000386803069850957,0.0004167534025291366,0.00042165160861083197
pt_6_6_4_p4_v10__250,0.00026542666366783025,0.0003616949735752286,0.0003289318878839224,0.000339592760673136,0.0003541628088479338,0.0003680799648910248,0.00038012983904251493,0.0003709677099624232,0.00038443213888362745,0.000364986459930464,0.0003762175304533498,0.0003525816484422385,0.00037951916392150976,0.00036218221774543394,0.0004729415276527787,0.0004577445636864993,0.000423517924029523,0.0004261075607538799,0.0005719510116481694,0.000532441645818332,0.0005431888230626769,0.00048149501046891894,0.00046688955020011285,0.0003870708028801793,0.0003874013607218905,0.00041362346149676594,0.00042354942516010017,0.00042296383637979967,0.00038085119000935897,0.00037824294568365475,0.0003632862148380463,0.00036290183006138226,0.00040451181700244603,0.0004300262008832213,0.0004428437829692338,0.00040459417689281527,0.00040512082560202123,0.00040706477390091314,0.0005502258383453844,0.0005609759057605579,0.0004895798031987741,0.0003810179030508718,0.0004065771467565222,0.0005051973240739455,0.0005078667285758652,0.0004253558811773924,0.00036378241075609395,0.0004905539137319691,0.00037786084792845796,0.0004660660741784933,0.0004670143204326472,0.0004972468243029532,0.0005049747074849064,0.00045354073703439597,0.0005067785664212097,0.000505861381148621,0.00038513878315873126,0.0004676882197676638,0.000394573102476604,0.0003112099923235866,0.0003254722591467916,0.0003851759852959813,0.0004512936499859717,0.0004384325771686089,0.0005416545413260621,0.000501455281349361,0.0005828247512522768,0.0006027002965585872,0.0006007035434448193,0.000590801405841138,0.0005371981003664025,0.000455309104974038,0.0004806211661650947,0.00046086183817977533,0.0005277302658708112,0.0004934797169953459,0.0005453785752911784,0.0005652594805568747,0.0005446892638437226,0.0005481893572533893,0.00043331541452433704,0.0004102603627474383,0.0004245860044045245,0.0005194530484946042,0.0005436536268967932,0.0004041489526222104,0.00048647380232184044,0.0004971173843103636,0.000555868979679283,0.0005521768196028675,0.0005194214102822273,0.000552079717967424,0.000520879181418395,0.0005104990538009531,0.0004379865589895225,0.00030533124224133826,0.00032456690522077685,0.0003231543801685134,0.0003595840528795931,0.0003628355428721971
pt_6_6_4_p4_v10__300,0.0002687692471996431,0.00036693175860548727,0.0003298403694284907,0.0003450155018234863,0.0003384556988584834,0.00035740169590214594,0.0003671812363393598,0.00035654722974137195,0.0003667596455993793,0.00037213801593495165,0.00035741233081108966,0.0003082849808581725,0.0003562832689008907,0.000340845647446086,0.0004525778967128846,0.00043869001876996517,0.0003900561578965145,0.0003917815147820429,0.000537939553705264,0.0004965831465104618,0.0005085526539821601,0.00045226609517747527,0.00043499871862515973,0.000356161274110194,0.00036335370465935914,0.00039465320861821365,0.0003904128274564404,0.0004048212224463825,0.0003588847963001456,0.00034273649366795917,0.00033147064595331606,0.00032790407723086554,0.0003748092634868011,0.00039795037448015944,0.0004216721849131265,0.0003672016849928969,0.00034880505339678563,0.0003616186359615629,0.0005164030446019243,0.0005055182344977878,0.00045567688953407543,0.00032706773092588623,0.00035043647612722443,0.00047131675024795713,0.00047386296601289107,0.0003704646277549542,0.00031099755018809455,0.0004697544557048973,0.0003515268643809018,0.0004466959344719177,0.00045097690041197844,0.0004684671623756921,0.0004733308454507319,0.00042193698922973527,0.0004755763854876558,0.00048190870595427135,0.0003721447635436992,0.0004507877637210353,0.00035911440168765347,0.00028980045705724025,0.00029041547126936796,0.0003651819035755571,0.00043832280643969844,0.0004337994719763223,0.0005108871786496734,0.0004708968856015507,0.0005522652583317693,0.0005721430404156278,0.0005701481296618307,0.0005602434318811297,0.0005064892341585851,0.0004315356648761957,0.00045226388671107637,0.00043671349327080114,0.0004992947842029034,0.00046933573833970256,0.0005150364590071607,0.0005398110658467524,0.0005178001643898892,0.0005193145604800369,0.0004241731720308591,0.0004053144832882078,0.0004247842300954836,0.0004914054511299282,0.0005131390731732317,0.0003938089374648353,0.00046248459871987716,0.0004663511262474604,0.000525055577666305,0.0005214088736629138,0.000490009141626311,0.0005252210145698402,0.0004923983305952322,0.0004838377483955753,0.00042478184618708877,0.0002644504016634052,0.0003075235588318236,0.00031608010142315,0.00031669007804695297,0.0003474901342746476
pt_6_6_4_p4_v10__350,0.00024342902756242676,0.0002669355914830889,0.00019379637530939694,0.00021719128110554727,0.00017609830493133059,0.0002613011977750238,0.0002213747163926971,0.00019020868589149375,0.00032660016427837044,0.0003520834594612233,0.00033718297929964333,0.0002677107058929436,0.00033439290878510574,0.00031822815051305,0.00040948329311528837,0.00038886464676954845,0.0003631758743632608,0.00033145967030504545,0.00048300023507512454,0.0004403937022403498,0.0004519476834470806,0.0003980729349360209,0.0003769024421445431,0.0003297834890685271,0.00032230485742667505,0.00029036505397374746,0.00034183761834406573,0.00029909088254024847,0.00028339502872597573,0.00031986304001105527,0.000305130855514473,0.0003034704013911773,0.0003241097424588127,0.00036645465861059027,0.00030879066942438157,0.00031131070653390893,0.000303095199219594,0.00030635102881595766,0.0004588059460584009,0.00042528067677675155,0.0003972931375350527,0.00027543225366350013,0.00029632961278879975,0.0004129231065702477,0.0004185310358365733,0.0003004427303988485,0.00026160209793494725,0.00034380866622169156,0.0002768100870206365,0.0003224959539254362,0.00032757306351251236,0.00034543273268198025,0.00034950462825745587,0.0003002228533277975,0.00035252325029654124,0.00035914290051330543,0.0002779352992009918,0.00032714438121767285,0.00033184405109303847,0.000268976203687262,0.0002693077637085,0.0002947304340024004,0.0003133831508503166,0.0003091378632862446,0.0003779545315432531,0.0003379990420662635,0.00041937285869691565,0.00043924501906281014,0.00043724859135005887,0.0004273463656338547,0.0003765397263841548,0.000305579188192467,0.00032583897028744474,0.0003125569381015023,0.0003686997709987286,0.0003396812358848169,0.0003825165583479029,0.0004072930762038505,0.0003852989191225472,0.00038693291538648985,0.00029986920358217415,0.00028051033444692527,0.0002940200137538326,0.0003588894209940837,0.00038029345116663376,0.00026895250981412856,0.00032339063434853806,0.00034070668322853215,0.00039220045685712867,0.0003884758037550339,0.0003557510260712323,0.0003927034066195788,0.0003587140916076952,0.0003513190179839732,0.00029855185319231897,0.00024360123161068742,0.0002294224762298452,0.00022714350876944716,0.0002642984597446231,0.00024186413501970643
pt_6_6_4_p4_v10__400,0.00026883863988173487,0.00020651071246814354,0.0001346168357644751,0.0001602295983505246,0.000163357137398111,0.0002679246663021565,0.00023083740692537598,0.00018878156603104485,0.0003327062448254998,0.00032330971487453276,0.0003297051238689137,0.0002156245742968466,0.000303825098432463,0.00028037552426589743,0.0004180684661497779,0.0003848663641090313,0.0002889330073696084,0.0002586454132519688,0.0004832292794181349,0.00044328900070169974,0.00045400449752372197,0.0003988184644984739,0.0003776295062360905,0.0002776293207577864,0.00023637532763108148,0.00021033095903411178,0.00026900263072138816,0.0002213454134523318,0.00019814927820559374,0.000272494958112252,0.00023477111279154937,0.00023726867998196983,0.000317098486909943,0.00034373037929204985,0.00022371496806450756,0.00023915230729871457,0.0002366822633090411,0.00023863380541331344,0.0004625848034034962,0.0004355952963003423,0.0004012520258514167,0.00020803029957856782,0.00028129618070990223,0.0004170007504054394,0.00041858102578765045,0.00030303400275323204,0.00019420382234141173,0.00024738182359245186,0.00020155377743369372,0.00022785337429873562,0.00022553254168798643,0.00024901162708158766,0.0002575654968444262,0.0002343465137659517,0.00025893448843581425,0.0002605717939660425,0.00020170218899622525,0.00022708202192975955,0.00030190805593675955,0.00024846508118770994,0.00023626185847762209,0.00022690427736346894,0.00021538124624830485,0.00021192208981375249,0.0002951207776975379,0.00025524071319096695,0.00033661196156154003,0.00035648493827925953,0.00035449054826929466,0.0003445865534181308,0.0002908306951709125,0.00020878935660052718,0.00023426640633356235,0.00023565259785525615,0.0002812090295130687,0.0002497755379846186,0.00029885727404969,0.00032016152289801277,0.0002983339876424623,0.0003020492638341576,0.00020304605500351148,0.00019038537783323361,0.0001877199590089836,0.0002729354205794688,0.0002974378036870154,0.00019617079825401444,0.00023995880419409876,0.0002506764621277545,0.00030934799192657643,0.00030566147396949016,0.0002729004655144586,0.0003055844328358389,0.0002743581843645147,0.00026418770146489977,0.0002051287597531056,0.0001805691832970216,0.0001638872425150411,0.00016047749637574017,0.00019766182325482685,0.0001739609828138018
pt_6_6_4_p4_v10__450,0.00027724780041310656,0.00034365899210801894,0.00034775530652120446,0.00029790497522024634,0.00037140447077547355,0.00038440701055140883,0.0003812273700927551,0.0003770213418069528,0.0004187856200802388,0.0003972265292087084,0.0004136715877997005,0.00039216032985541074,0.0004156153565983337,0.00039360322238187124,0.0005131386650090324,0.0005048083953536587,0.00045069938503771443,0.0004393021574455873,0.0006368672411945485,0.0005971211990026114,0.0006082097908957868,0.0005452045312256251,0.000531912699990292,0.0004309980340685926,0.0004021542552055427,0.00041717520385837527,0.00043586273511400544,0.00042865348121275376,0.0003924904335908578,0.0004283178001202695,0.00039633457336061363,0.00040710082474677465,0.0004714411274742464,0.0004965326001224858,0.0004412852320994857,0.00045369224705717713,0.0004553359760233381,0.0004573990993969395,0.0006162065050715121,0.000646368954276452,0.000555184777728378,0.000426100751720906,0.0004919399180297521,0.0005709152965987895,0.0005728406815673497,0.0005125358266772195,0.0004131872043296221,0.0004895073016477974,0.0004206498521769099,0.00045580018288495796,0.0004607034797071122,0.0004926429829541205,0.0005011502873860302,0.00046178274333152794,0.0005029210677445934,0.0005019933126351917,0.0004055093682994844,0.00045746932419875807,0.00045582282555416446,0.00037112066329890675,0.00037926889819814736,0.0003628630055189086,0.0004436363085646133,0.000416655081912176,0.0005402935424118356,0.0005004111305517639,0.0005817815114901646,0.0006016570561990803,0.0005996611867183335,0.0005897570897075724,0.0005360012196580081,0.0004529208253920737,0.00047943888659156774,0.0004689096023767793,0.0005258093846102108,0.0004905151680941117,0.0005429908460954649,0.0005638354515711895,0.0005434088430713,0.0005471844411770635,0.00041558873449664107,0.0003674458938364394,0.0003716756902056857,0.0005180869414765583,0.0005426099759243063,0.00041761174402667395,0.0004845587787316336,0.0004958221943228219,0.000554343130742793,0.0005508342574481527,0.0005170315601681678,0.0005506292578342697,0.0005184905699032359,0.0005081086858971177,0.0004328427306893079,0.0003361302425347025,0.0003701058442937042,0.0003671793170650824,0.00040769143272158736,0.0003897180978123278
pt_6_6_4_p4_v10__500,0.00032510881807651056,0.0003592464048590879,0.0004002826396765321,0.0004136767775967602,0.00039017911186386967,0.0003482625906884799,0.0003572857343341455,0.0003870528669304543,0.00030897661583332664,0.00030344158957731134,0.00030715602161041376,0.00040639824060503604,0.00035464203278324385,0.00035719989277748594,0.0003253457938023477,0.00040138890709159284,0.00044752461072150465,0.000477256051571475,0.0005128982670974788,0.00047320522497304153,0.0004842942775887013,0.0004489261684878181,0.000441912705750077,0.0004384541162780783,0.0004174430379168531,0.0004837864305171273,0.000463278937064249,0.0004927437295700973,0.000434840541950041,0.00039439171739739877,0.00040274311593448847,0.00041033442270213137,0.00038120999893174177,0.0004082216717699392,0.0005446110084305078,0.0004722198810519122,0.00047727862348620015,0.00047636989871048324,0.0005375075503382246,0.0006121406909279864,0.0004843663399563212,0.0004774267205129482,0.00045380785016604615,0.00045798645787255196,0.00045671538372381055,0.00046656751155661367,0.00045692513645657006,0.000629211719829824,0.0004777046613364263,0.0005894892706608756,0.000605287229951049,0.0006354732130306917,0.000643590431735846,0.0005919765614839403,0.0006452171077605076,0.0006443548041268181,0.0004815872218070443,0.000583551610152611,0.00039667565902026173,0.00032333695313064366,0.000352615271403246,0.0003449451764762855,0.0005812405226756762,0.0005516663627965644,0.0006801064968034946,0.0006401135511687405,0.0007214850637331386,0.0007413599768537843,0.0007393646034304868,0.0007294602947662095,0.0006757060669497189,0.0005937894679816318,0.0006191411453387914,0.0005993424416887953,0.0006662091109998363,0.0006313832393494885,0.0006838605706660939,0.0007037109722725806,0.0006831404984423619,0.0006868496696816777,0.0005589718148646446,0.0004746324771713132,0.0005000545057535584,0.0006579229253652563,0.0006823127681723808,0.0005404830092638428,0.0006249117761532349,0.0006355692714648497,0.000694348049529061,0.0006906276593533605,0.000657901365335259,0.0006905328020076729,0.0006593582999122214,0.0006489779198444479,0.0005737139418495356,0.00034873146004586075,0.00045332544954706513,0.00045824545957052684,0.00047515149539728227,0.0004923583022628604
