,pt_6_6_4_p3_v9__50,pt_6_6_4_p3_v9__100,pt_6_6_4_p3_v9__150,pt_6_6_4_p3_v9__200,pt_6_6_4_p3_v9__250,pt_6_6_4_p3_v9__300,pt_6_6_4_p3_v9__350,pt_6_6_4_p3_v9__400,pt_6_6_4_p3_v9__450,pt_6_6_4_p3_v9__500,pt_6_6_4_p3_v9__550,pt_6_6_4_p3_v9__600,pt_6_6_4_p3_v9__650,pt_6_6_4_p3_v9__700,pt_6_6_4_p3_v9__750,pt_6_6_4_p3_v9__800,pt_6_6_4_p3_v9__850,pt_6_6_4_p3_v9__900,pt_6_6_4_p3_v9__950,pt_6_6_4_p3_v9__1000,pt_6_6_4_p3_v9__1050,pt_6_6_4_p3_v9__1100,pt_6_6_4_p3_v9__1150,pt_6_6_4_p3_v9__1200,pt_6_6_4_p3_v9__1250,pt_6_6_4_p3_v9__1300,pt_6_6_4_p3_v9__1350,pt_6_6_4_p3_v9__1400,pt_6_6_4_p3_v9__1450,pt_6_6_4_p3_v9__1500,pt_6_6_4_p3_v9__1550,pt_6_6_4_p3_v9__1600,pt_6_6_4_p3_v9__1650,pt_6_6_4_p3_v9__1700,pt_6_6_4_p3_v9__1750,pt_6_6_4_p3_v9__1800,pt_6_6_4_p3_v9__1850,pt_6_6_4_p3_v9__1900,pt_6_6_4_p3_v9__1950,pt_6_6_4_p3_v9__2000,pt_6_6_4_p3_v9__2050,pt_6_6_4_p3_v9__2100,pt_6_6_4_p3_v9__2150,pt_6_6_4_p3_v9__2200,pt_6_6_4_p3_v9__2250,pt_6_6_4_p3_v9__2300,pt_6_6_4_p3_v9__2350,pt_6_6_4_p3_v9__2400,pt_6_6_4_p3_v9__2450,pt_6_6_4_p3_v9__2500,pt_6_6_4_p3_v9__2550,pt_6_6_4_p3_v9__2600,pt_6_6_4_p3_v9__2650,pt_6_6_4_p3_v9__2700,pt_6_6_4_p3_v9__2750,pt_6_6_4_p3_v9__2800,pt_6_6_4_p3_v9__2850,pt_6_6_4_p3_v9__2900,pt_6_6_4_p3_v9__2950,pt_6_6_4_p3_v9__3000,pt_6_6_4_p3_v9__3050,pt_6_6_4_p3_v9__3100,pt_6_6_4_p3_v9__3150,pt_6_6_4_p3_v9__3200,pt_6_6_4_p3_v9__3250,pt_6_6_4_p3_v9__3300,pt_6_6_4_p3_v9__3350,pt_6_6_4_p3_v9__3400,pt_6_6_4_p3_v9__3450,pt_6_6_4_p3_v9__3500,pt_6_6_4_p3_v9__3550,pt_6_6_4_p3_v9__3600,pt_6_6_4_p3_v9__3650,pt_6_6_4_p3_v9__3700,pt_6_6_4_p3_v9__3750,pt_6_6_4_p3_v9__3800,pt_6_6_4_p3_v9__3850,pt_6_6_4_p3_v9__3900,pt_6_6_4_p3_v9__3950,pt_6_6_4_p3_v9__4000,pt_6_6_4_p3_v9__4050,pt_6_6_4_p3_v9__4100,pt_6_6_4_p3_v9__4150,pt_6_6_4_p3_v9__4200,pt_6_6_4_p3_v9__4250,pt_6_6_4_p3_v9__4300,pt_6_6_4_p3_v9__4350,pt_6_6_4_p3_v9__4400,pt_6_6_4_p3_v9__4450,pt_6_6_4_p3_v9__4500,pt_6_6_4_p3_v9__4550,pt_6_6_4_p3_v9__4600,pt_6_6_4_p3_v9__4650,pt_6_6_4_p3_v9__4700,pt_6_6_4_p3_v9__4750,pt_6_6_4_p3_v9__4800,pt_6_6_4_p3_v9__4850,pt_6_6_4_p3_v9__4900,pt_6_6_4_p3_v9__4950,pt_6_6_4_p3_v9__5000
pt_6_6_4_p4_v10__50,0.0002659496581055071,0.00026039040601632954,0.0002681582314822575,0.00025932751628776634,0.00025577766065918437,0.00026377869391542544,0.00026164318706615097,0.00025900372352653995,0.0002560745832864861,0.00025914173148108773,0.00025811148744745284,0.00025376859998001736,0.0002506177760064665,0.00025222242809830325,0.0002463960891856369,0.00024938851121191196,0.00024627174183699645,0.00024009730712194166,0.00024400731781090994,0.00024147335389844093,0.00023895232903570484,0.0002401258508687126,0.00023255650404705776,0.00022712023248629858,0.00022719571231792895,0.0002239682792573617,0.00022660675089105706,0.00021120016652167144,0.00020618912677013466,0.0002072345374750418,0.00019610291820121363,0.0001430993758007318,3.912867520193839e-05,3.862204847228268e-05,4.0024126934812963e-05,3.963788427990527e-05,6.342913927745077e-05,9.943019369307596e-05,0.00011378632845084282,0.00012827181233067373,0.0001329271775836707,0.0001380192509208747,0.0001390630040227421,0.00013981572838836671,0.00014263791645128005,0.0001420414897339323,0.00013934371318891786,0.00014060550737085453,0.00014119572388166174,0.00014148891743068795,0.00014210109304582753,0.00014217334591538875,0.00014198450765075902,0.00014141889877260035,0.0001406444853719004,0.0001408925868307645,0.00014093466799462202,0.00014011483454467972,0.00014034938707962078,0.00013907024000413563,0.00013887154751600098,0.00013939205551905356,0.00013956104005740164,0.00013983188340516958,0.00014077012102181857,0.00014074116342123003,0.00014007718441085565,0.00014575452436080798,0.00014208236132662942,0.0001413161299312259,0.00015278514144846037,0.00014223388320391944,0.00014189581896551745,0.00014240412929748084,0.00014220264488267926,0.0001413397428715692,0.00014091053672140116,0.00014101895014163876,0.0001410743484135639,0.00014168268256368368,0.00014219253722318876,0.00014278298889316531,0.00014267802818100468,0.00014269783726184336,0.00014279118022964064,0.00014233227910146826,0.00014265424604216216,0.00014234821470238482,0.00014193910101240357,0.00014217759551114997,0.00014093824497612758,0.00014114875590896973,0.00014178523896829362,0.000140797227027045,0.00014136723164767607,0.00014161569236679908,0.00014139417497711958,0.00014236090026647079,0.00014267204206961588,0.0001506795876455874
pt_6_6_4_p4_v10__100,0.00033784057185173486,0.0003322809570871908,0.00034004906845471166,0.00033121947785183633,0.0003276682126673925,0.0003356706601663213,0.0003335342992276154,0.00033089551648258516,0.0003279662584132558,0.0003310329205375544,0.0003300023217417627,0.0003256591522324028,0.0003225094583643107,0.0003241136583625878,0.0003182863615858751,0.00032128020254164493,0.00031816202428019725,0.000311988484329021,0.000315898266542847,0.00031336542739177303,0.0003108440073762855,0.00031201752974492836,0.00030444745091862184,0.00029901191163033195,0.0002990866604001,0.00029585911047180563,0.0002984984307715887,0.000283091567530742,0.0002780799621357022,0.0002791260472153826,0.00026799525014342684,0.00021499144549191933,0.00011052851003379701,3.969370402972956e-05,4.502013591850402e-05,4.571572629115247e-05,3.8059096873473344e-05,3.697484878305999e-05,4.961697404562088e-05,5.638030539842516e-05,6.273484344163287e-05,6.612774541715529e-05,6.716992906697966e-05,6.792393808819643e-05,8.282515139604962e-05,8.016882472501722e-05,6.745221046091797e-05,7.623340888549945e-05,7.267654014332402e-05,6.959741017520914e-05,7.021043078735274e-05,7.334286451537105e-05,7.405109555045157e-05,6.952823498325433e-05,6.87541003659477e-05,6.900143546550267e-05,6.904287836046492e-05,7.714993317518342e-05,6.845928811855208e-05,6.717929278016647e-05,6.698088870987346e-05,6.750168854774474e-05,7.181104792676491e-05,6.794094397841879e-05,6.887861428866699e-05,8.174420106959361e-05,6.81859599718616e-05,8.170980198459452e-05,7.442538384279994e-05,6.942435207054427e-05,8.424358541156388e-05,7.892730192320105e-05,7.00529626393379e-05,7.051267238570493e-05,7.031141864939998e-05,7.45177234131785e-05,7.634495439685683e-05,6.912688311753719e-05,7.157288883358818e-05,7.226445959782358e-05,7.030159145833747e-05,7.089176653338642e-05,7.584191458266213e-05,7.080689349589072e-05,7.390333076536372e-05,7.044189678343017e-05,7.076273998194785e-05,7.045727430246921e-05,7.593876552683825e-05,7.940588670798643e-05,7.058470420975698e-05,7.262394809847187e-05,7.285267793543746e-05,6.890571521044677e-05,7.415148030634113e-05,7.203296145494172e-05,6.950266646948736e-05,7.046967721725175e-05,7.08918934060412e-05,9.289944159729647e-05
pt_6_6_4_p4_v10__150,0.0003755706657325496,0.000370010415132684,0.000377778773407379,0.0003689486202342342,0.000365397353222612,0.00037339980500838244,0.00037126297223596765,0.00036862364161754447,0.0003656946266430389,0.0003687621705366785,0.00036773118164434274,0.00036338980811853816,0.00036023860180084996,0.00036184290812066257,0.00035601606541410817,0.00035900822582708025,0.00035589173337921586,0.0003497182960943758,0.0003536272347998756,0.00035109439556056215,0.00034857230505999285,0.0003497466713542892,0.00034217613756189257,0.0003367402097356864,0.00033681675293083273,0.0003335891768390822,0.0003362284165525875,0.0003208198672524105,0.0003158088226004868,0.00031685501419136694,0.00030572281065742793,0.00025272041023362485,0.00014825765202967637,8.016694400781405e-05,7.721075276778367e-05,8.283100181873943e-05,5.629227399350988e-05,2.750095221489152e-05,2.653311989946451e-05,1.9745272513432408e-05,2.937128435898044e-05,3.101858502807303e-05,3.036008223129648e-05,3.182349355965922e-05,4.3693212779646614e-05,5.43945908516507e-05,4.038951138217045e-05,4.3635308374061704e-05,4.1190548784510595e-05,4.331052137268059e-05,4.3775904683062405e-05,4.756891241594219e-05,4.072427212919889e-05,3.4865080413229195e-05,3.476557908602986e-05,3.8480115024781154e-05,3.8107788713058724e-05,4.18430833805925e-05,4.0138091927043364e-05,4.163284183957526e-05,2.9251440498976245e-05,3.080826466884569e-05,4.9904181885965655e-05,3.3439584785649656e-05,3.516427897157888e-05,4.643987680005965e-05,3.592775564949016e-05,5.7168234419551105e-05,3.582493816065737e-05,3.428520269884998e-05,5.371298541199995e-05,3.591965826915812e-05,4.363896500136634e-05,3.479197075549135e-05,3.70599626501593e-05,3.708639202926002e-05,4.3617681321718355e-05,3.806806058421303e-05,3.827419008296165e-05,3.815895399355694e-05,3.82635772305414e-05,4.46690223126604e-05,5.130193033292565e-05,3.918704664263917e-05,4.812965979264774e-05,4.131417554376439e-05,4.247275823510682e-05,3.272781098306607e-05,5.016565695433652e-05,4.400623090881847e-05,4.604331686734335e-05,4.7262535607185234e-05,3.754753731442897e-05,3.233873383576301e-05,4.8377526063352596e-05,4.224522993752532e-05,3.3132537180052685e-05,3.301940386019511e-05,3.81634959911656e-05,6.0110865206118974e-05
pt_6_6_4_p4_v10__200,0.0003945535904279135,0.0003889941832283243,0.00039676155823171317,0.00038793140498785184,0.0003843811163991575,0.00039238315342929255,0.0003902464591717831,0.0003876074096522479,0.0003846781133342047,0.0003877445325031937,0.0003867151787509186,0.00038237216984901546,0.00037922166829970757,0.00038082555099802856,0.0003749986325189829,0.0003779924195545816,0.0003748756451492482,0.0003687000947944702,0.00037261128339055745,0.0003700784440399588,0.0003675562839768299,0.00036872922066468416,0.0003611607480791736,0.00035572387198623214,0.0003557999571383647,0.00035257125604538746,0.00035521064046963453,0.0003398040585753688,0.0003347922092366724,0.00033583849873671776,0.000324706575928533,0.0002717041731760176,0.00016724073051777193,9.629652401825346e-05,9.61949442366059e-05,0.00010181419486719052,7.223918907689413e-05,3.919436695098557e-05,2.387613987597101e-05,1.065777085188304e-05,1.0312291783329866e-05,1.3423546899172e-05,1.3437478959295795e-05,1.8827368126623492e-05,2.844267640623138e-05,3.0508453514153006e-05,2.1430631779314946e-05,2.5959612301245666e-05,1.668851607754739e-05,2.4036842513948054e-05,2.5940131110313913e-05,2.6292510895053207e-05,2.0770327920382867e-05,2.0654669530305298e-05,1.9564166536254487e-05,1.907297885774119e-05,2.4341697114006382e-05,2.0349333130595572e-05,2.7919619452116014e-05,2.6555726304778228e-05,1.4223100447556095e-05,1.8380880887966246e-05,2.8109813309188722e-05,1.552963628991787e-05,1.796092455338503e-05,2.456777953347254e-05,2.0621800629264452e-05,3.8211605272728806e-05,2.0038317227385098e-05,1.676895503851914e-05,4.357975343182043e-05,2.454136202675205e-05,2.4170715646485632e-05,2.4756319498996556e-05,1.9918449319253934e-05,2.2394385289720507e-05,2.0538315198652347e-05,2.2269740405462055e-05,1.4635039239417066e-05,1.9759285349486375e-05,1.645558435102154e-05,2.4979827917079263e-05,3.234292379329052e-05,1.6194062126334053e-05,2.4716859249380345e-05,2.560771022490682e-05,2.2287990702493958e-05,2.160217085444678e-05,2.4035192830346935e-05,2.612684685288871e-05,2.708554163602354e-05,2.5406734955137033e-05,1.697560917331557e-05,1.3761617535618345e-05,2.2247822216611696e-05,2.4816699426745935e-05,1.7921282397269936e-05,1.5570365354620654e-05,2.924807934553324e-05,3.5695448373660645e-05
pt_6_6_4_p4_v10__250,0.0004020942366426282,0.00039653539140832627,0.00040430301714113265,0.00039547259395155164,0.0003919217617639897,0.00039992357139687356,0.0003977873862415287,0.00039514889893125214,0.00039221960236848573,0.0003952868654383017,0.00039425554309587945,0.0003899142211203967,0.00038676276742193234,0.0003883670397104289,0.00038253955831480936,0.0003855322359927461,0.0003824168673669317,0.00037624158249381585,0.0003801522089869118,0.0003776188069949355,0.0003750963655062247,0.00037626902107719694,0.00036870167271886106,0.000363264796171692,0.000363341443759927,0.00036011330482696305,0.0003627526894717337,0.00034734459918246376,0.00034233369410309233,0.00034338026490541814,0.00033224834116718624,0.0002792459339864153,0.0001747824826004812,0.00010383775487844277,0.00010580350417635927,0.00010935509783899965,7.978065200752281e-05,5.5335286568862286e-05,3.2100995397748284e-05,1.8525719112487286e-05,2.00877205419375e-05,1.5445881693041665e-05,1.6138104043396962e-05,1.018737461363062e-05,3.292170564123926e-05,2.2516446665601308e-05,6.973494095227357e-06,2.8569968455269894e-05,2.1604350106585153e-05,1.4729030704057868e-05,9.324669603699725e-06,1.7286161624318265e-05,2.635156024617977e-05,1.8623853293669187e-05,1.8993040874293797e-05,8.038788488564586e-06,1.3299311494952393e-05,2.471250115911187e-05,1.5054720957260538e-05,1.3194675417033106e-05,1.8821644818281654e-05,1.19085582343765e-05,2.4202171168434816e-05,1.1898146109675425e-05,1.1906768390365075e-05,2.8643546307703404e-05,8.239185042839672e-06,2.127049796103369e-05,2.3983176796341944e-05,2.1055351105825353e-05,2.9039377993942805e-05,2.8419108378354888e-05,1.8676177612260066e-05,1.715126384389172e-05,1.146384097146664e-05,2.733123184304047e-05,2.6576823666718697e-05,9.094661426606446e-06,1.852014149555914e-05,2.489016058453529e-05,1.1938517088895367e-05,1.4749350166700483e-05,1.7598428958770844e-05,1.278951240927506e-05,1.55991487547662e-05,1.3168289649411232e-05,1.3128378987925437e-05,1.4785360242743085e-05,1.9777437824338664e-05,3.1563412558726814e-05,1.289274641101899e-05,2.1078201691455533e-05,2.077409744215498e-05,1.8653295138175237e-05,1.6847068257447576e-05,2.177885463280876e-05,1.646635173892136e-05,1.936013584479487e-05,2.0448611344233146e-05,3.889269472885666e-05
pt_6_6_4_p4_v10__300,0.0004050981592378153,0.00039953939318260163,0.00040730779014973214,0.00039847594957743797,0.00039492552478037775,0.0004029279799211733,0.00040079189042573516,0.0003981516978020515,0.00039522300646797215,0.00039828938307170464,0.00039726104093120064,0.00039291702134721377,0.0003897670568284981,0.0003913712457635967,0.00038554367520217837,0.0003885366845397911,0.00038542019093690694,0.0003792463529580497,0.0003831566975972906,0.00038062273358963755,0.0003781018832970117,0.00037927456252220934,0.00037170503834101825,0.0003662692258730178,0.0003663448102579933,0.00036311642070564325,0.0003657563081330068,0.00035034832222505756,0.00034533755746796386,0.0003463841970949836,0.00033525115031646544,0.0002822490330116018,0.00017778694957436937,0.0001068421942529751,0.00010674089525651208,0.00011235830202598282,8.278265876771022e-05,5.253559364780289e-05,3.002670294576029e-05,1.752738147221174e-05,1.7269996078557947e-05,8.97898421969717e-06,9.934834845719975e-06,8.049358381332557e-06,2.6733477072741788e-05,2.069891529086478e-05,7.913406564861262e-06,2.1497473795849103e-05,1.4437784500197515e-05,1.1955959158649068e-05,1.2140971853378022e-05,1.3116488434025816e-05,1.9296874283066143e-05,1.1598257381322069e-05,1.1980476331897705e-05,7.1254528460971225e-06,1.2508288099350333e-05,1.8263546549587243e-05,1.641991984252212e-05,1.556286831761822e-05,1.1811601173918942e-05,9.17238740923419e-06,2.241397353791792e-05,4.884986872457998e-06,7.924171504090105e-06,2.219780076567628e-05,8.264701457934538e-06,2.4347036213143394e-05,1.7488373076438486e-05,1.4025590709153879e-05,3.140134808480168e-05,2.1859246978620967e-05,1.5873548279629816e-05,1.4916216995227184e-05,7.297638867362877e-06,2.026519370732411e-05,1.950636891736408e-05,1.0285209276371036e-05,1.198599569386532e-05,1.7782175981224022e-05,4.755471216533497e-06,1.0532377030281116e-05,1.7908276306111985e-05,6.0723611371479026e-06,1.3456200822779245e-05,1.213705998637447e-05,1.0768646482987112e-05,1.2504522008809118e-05,1.5601028090916253e-05,2.4299025791348104e-05,1.2790836750274188e-05,1.820577793947104e-05,1.4107461606840831e-05,1.1529164947398513e-05,1.3874480539510439e-05,1.765810405889771e-05,9.32943706215519e-06,1.2677216228123315e-05,1.9399765844615526e-05,3.2175875519875094e-05
pt_6_6_4_p4_v10__350,0.0004058440514376511,0.0004002840819134144,0.00040805292380532754,0.0003992208020153996,0.00039567073395656885,0.0004036733948374512,0.00040153663904806016,0.000398897870793248,0.00039596885574540673,0.0003990349936416006,0.000398005639908775,0.0003936629123037927,0.00039051219050213846,0.0003921165746968837,0.0003862890938982442,0.00038928266195113433,0.0003861661683190676,0.0003799911187224571,0.00038390202602978573,0.000381367780652798,0.0003788464642818773,0.0003800202585894633,0.00037245064729022806,0.0003670140782984914,0.0003670901376655717,0.0003638619990633063,0.000366502285425535,0.00035109429954190466,0.0003460818474623453,0.0003471295232856845,0.0003359961946136039,0.00028299519893691953,0.00017853180200469944,0.00010758648431668193,0.00010748574771962317,0.00011310409897906283,8.352965617734197e-05,5.461593549874854e-05,2.6107887784484025e-05,2.3343943794376273e-05,1.9350229100871754e-05,1.1059346826403526e-05,1.0150612961522132e-05,1.2172163760813281e-05,2.5016889988719487e-05,1.5124026332264109e-05,1.0271155888577126e-05,2.257797666219759e-05,1.204090439241287e-05,1.786616605379739e-05,1.786867540855142e-05,1.00407963981831e-05,2.038340282731536e-05,1.4979217875842087e-05,1.443933339660155e-05,1.3456810146140267e-05,1.883834887601246e-05,1.2161173371492253e-05,2.2750019756057153e-05,2.1931736854304095e-05,1.314124007831318e-05,1.2997558085721404e-05,2.249617536047567e-05,1.0611724119258059e-05,9.380778724473009e-06,1.4817512399813574e-05,1.4506194313768031e-05,2.2345717325619904e-05,1.7145205215312736e-05,1.5113697540840499e-05,3.7731863220244534e-05,2.1011017240006205e-05,1.8838310748503493e-05,1.9295943707218413e-05,1.3593391346068133e-05,2.1341771110527002e-05,2.05917725941735e-05,1.6595922589082506e-05,7.798116945320371e-06,1.885239400653898e-05,8.577376645776111e-06,8.45955326271367e-06,1.5837605426813627e-05,5.7587208583070415e-06,1.1901871471192627e-05,1.4573700985592109e-05,1.3976097350035857e-05,1.569016407224366e-05,1.2728079093837097e-05,2.5320874844655955e-05,1.0956155584168997e-05,2.1155073829374824e-05,1.1842005184937909e-05,1.2592071448315713e-05,9.12551931118935e-06,2.0600980562481316e-05,1.181894650018511e-05,1.2076525186514797e-05,2.107487707631956e-05,2.472190881398969e-05
pt_6_6_4_p4_v10__400,0.00040751857433496966,0.000401959247638572,0.00040972848840803487,0.00040089805390101083,0.0003973462229124313,0.00040534895954314566,0.0004032125884811373,0.00040057239411777067,0.00039764426697108424,0.00040071036060218313,0.00039968061423993276,0.0003953391254632567,0.00039218719271568564,0.0003937913796532915,0.00038796549824773966,0.0003909571019439054,0.00038784088946123484,0.00038166704928392425,0.0003855771127062313,0.0003830434299147727,0.000380521737834114,0.0003816944170773409,0.00037412657831544356,0.0003686899240817226,0.0003687655065907982,0.00036553711877006326,0.00036817756879622206,0.00035276958296719693,0.0003477585368870121,0.0003488048934385107,0.0003376724090956394,0.0002846705730340803,0.00018020764779885532,0.0001132659864784135,0.00010916131237265377,0.00011477900013154657,8.65807455062539e-05,4.766945238049287e-05,4.5872037688314225e-05,2.3831094396702107e-05,1.7011277667359798e-05,1.3330222325807417e-05,1.6558005838551356e-05,1.7820169534471265e-05,2.3234321484318118e-05,3.61201761355636e-05,2.7097883543983187e-05,9.860242266282348e-06,1.088660380153548e-05,1.697480143738621e-05,2.7360039079071392e-05,2.886958246313225e-05,7.672014674726929e-06,1.005438857691866e-05,9.615460067844278e-06,2.0112796732453788e-05,1.5113463316790325e-05,1.945702309919958e-05,1.6242755244424083e-05,2.500859516437793e-05,1.147976842208497e-05,1.780399474177869e-05,2.3918472128637838e-05,1.6890330115913408e-05,2.0004037498050285e-05,2.086906133263387e-05,2.1958459289439264e-05,4.117380620905506e-05,1.355867723861194e-05,7.6293585633080175e-06,2.9662033568780258e-05,1.8283600784355344e-05,1.5788340934660612e-05,2.033606971376688e-05,1.747199311650154e-05,7.445171121454439e-06,7.406256264618197e-06,1.9600451770344874e-05,1.5200282124656246e-05,3.922502518076586e-06,1.8398048427648975e-05,2.7196606830714806e-05,3.4579819992120566e-05,1.8392384523721664e-05,2.6895740355309925e-05,2.4582786581404777e-05,1.7937094996839186e-05,1.7085512475744295e-05,2.190586573454684e-05,8.341770970901531e-06,3.0141793477637743e-05,1.7055047426018172e-05,1.7295032585014127e-05,1.1574160082410531e-05,2.4244279623623376e-05,1.069410037462151e-05,1.1374151066321485e-05,1.3974742272020413e-05,2.4699541947753108e-05,3.0641568018164175e-05
pt_6_6_4_p4_v10__450,0.0004038932617660193,0.00039833272981900346,0.00040610185686660243,0.000397272266017661,0.0003937205067273018,0.00040172232777879925,0.00039958697424119147,0.0003969479247748141,0.0003940186285157686,0.0003970850476229958,0.0003960548502469008,0.0003917121226473248,0.00038856168594590034,0.0003901663474720413,0.00038433886681438683,0.0003873330007961801,0.00038421566359570685,0.0003780422975869604,0.00038195151760031916,0.00037941670979678584,0.00037689623707355436,0.0003780700353425376,0.00037050070130471743,0.0003650646986888591,0.0003651407541164347,0.00036191008458453573,0.00036455178093650916,0.00034914435741902945,0.0003441330302860487,0.00034517845247229446,0.0003340473735328752,0.00028104384698851836,0.0001765812975229399,0.00010563682331425185,0.0001055352431520316,0.00011115387210155477,8.452346760368138e-05,4.969917655083208e-05,3.72971486485339e-05,1.687347296709518e-05,1.965815758740153e-05,8.062438403381482e-06,1.4410734964600614e-05,9.946349874444032e-06,3.10506340336756e-05,2.5550349959345463e-05,1.189151409242053e-05,2.0461270706048282e-05,1.7642987687330023e-05,9.12572888503732e-06,1.3206412634005788e-05,1.9636688969613385e-05,1.8496171574154888e-05,1.0586081145037624e-05,1.0945802872137689e-05,6.11625714352093e-06,5.666246588550627e-06,2.7081306699638905e-05,8.914528561016103e-06,1.0020039364398145e-05,1.4179202323762703e-05,1.1098231220724295e-05,2.1244205068877585e-05,8.351598604389207e-06,1.2653558937641651e-05,3.097330755132627e-05,8.874865169524533e-06,2.693654797738444e-05,2.2146894643192696e-05,1.300852140284259e-05,2.3906776956011597e-05,2.657907322565453e-05,1.3121214550039268e-05,1.5215795670866925e-05,6.8121780563607376e-06,1.9273434110155754e-05,2.2280750851218203e-05,5.9615000418413714e-06,2.0864763201049463e-05,1.6831304580943558e-05,1.1925803722551534e-05,1.706191377025892e-05,2.072877758057131e-05,1.51015236102575e-05,1.862487313038267e-05,1.587544629997653e-05,9.902420773541907e-06,1.4739937323412152e-05,2.1478921036988624e-05,2.3468795578156173e-05,1.677842607925789e-05,1.656396152949148e-05,2.117608672856422e-05,1.590675290900819e-05,1.916939135612846e-05,1.3688998982714896e-05,8.609724265413046e-06,1.7478379479118977e-05,2.1637027342052477e-05,4.119772657643699e-05
pt_6_6_4_p4_v10__500,0.0004022405554303895,0.000396680867148403,0.00040444916232170163,0.00039561872783434426,0.00039206751921429337,0.0004000701955620632,0.000397933424276876,0.0003952940936053708,0.0003923656410016622,0.0003954331849569914,0.0003944018627252939,0.00039005969757141274,0.00038690842893124945,0.0003885116726830298,0.00038268617231874014,0.00038567918114540563,0.0003825624064394017,0.00037638818527230554,0.000380297405271265,0.00037776484719586234,0.00037524325555949694,0.00037641593476339674,0.00036884687023269085,0.00036340919202929197,0.0003634872042790005,0.00036025878447779486,0.0003628993676233952,0.00034749053797772817,0.0003424794921335315,0.0003435251839232397,0.00033239326138027365,0.0002793897350311533,0.00017492860300112695,0.0001039838474374935,0.00010388226734262457,0.00010949947955512155,7.992531811400276e-05,5.016768569500138e-05,2.6695915041468084e-05,2.2320609869947773e-05,1.2114001576520144e-05,1.5863051896200242e-05,1.1894981691442838e-05,1.8737412870512986e-05,2.1055690570125488e-05,2.1462616040493373e-05,1.6716312036989875e-05,2.4991355457098592e-05,1.4775725990976091e-05,2.5575678242814337e-05,2.575337909522007e-05,1.6969360873491256e-05,1.7978741389555948e-05,2.2498910056161564e-05,2.1889846974322952e-05,2.09328999159897e-05,2.6334137896309072e-05,9.004529699792632e-06,3.020501836641678e-05,2.9300416884447374e-05,1.5233190347095453e-05,1.879113941512076e-05,2.734374989038237e-05,1.798601412772147e-05,1.4974992730900725e-05,1.2070612628929162e-05,2.1889764393061187e-05,2.8939354854898648e-05,1.6325189584035354e-05,1.7458459949325176e-05,4.5281912375796146e-05,2.1245276148281963e-05,2.579444826651614e-05,2.6190481140162435e-05,2.1539967679440764e-05,2.269047049248115e-05,1.931843859433063e-05,2.4259582647871725e-05,7.073138096082939e-06,1.8978385191985032e-05,1.6486551485406167e-05,1.5660333719832302e-05,2.3029682905840888e-05,1.3890898855030948e-05,1.9707826266806534e-05,2.210126715502813e-05,2.2116430562108637e-05,1.99643415581907e-05,1.5243820142387003e-05,2.3316944737153418e-05,1.7809354475382646e-05,2.5499288148924498e-05,1.1787723731092916e-05,1.3438253931339815e-05,1.4277101443097997e-05,2.5539949927714987e-05,1.9487682668744662e-05,1.4881073888395641e-05,2.6039732449401504e-05,2.2536313878935398e-05
