,pt_6_6_4_p3_v7__50,pt_6_6_4_p3_v7__100,pt_6_6_4_p3_v7__150,pt_6_6_4_p3_v7__200,pt_6_6_4_p3_v7__250,pt_6_6_4_p3_v7__300,pt_6_6_4_p3_v7__350,pt_6_6_4_p3_v7__400,pt_6_6_4_p3_v7__450,pt_6_6_4_p3_v7__500,pt_6_6_4_p3_v7__550,pt_6_6_4_p3_v7__600,pt_6_6_4_p3_v7__650,pt_6_6_4_p3_v7__700,pt_6_6_4_p3_v7__750,pt_6_6_4_p3_v7__800,pt_6_6_4_p3_v7__850,pt_6_6_4_p3_v7__900,pt_6_6_4_p3_v7__950,pt_6_6_4_p3_v7__1000,pt_6_6_4_p3_v7__1050,pt_6_6_4_p3_v7__1100,pt_6_6_4_p3_v7__1150,pt_6_6_4_p3_v7__1200,pt_6_6_4_p3_v7__1250,pt_6_6_4_p3_v7__1300,pt_6_6_4_p3_v7__1350,pt_6_6_4_p3_v7__1400,pt_6_6_4_p3_v7__1450,pt_6_6_4_p3_v7__1500,pt_6_6_4_p3_v7__1550,pt_6_6_4_p3_v7__1600,pt_6_6_4_p3_v7__1650,pt_6_6_4_p3_v7__1700,pt_6_6_4_p3_v7__1750,pt_6_6_4_p3_v7__1800,pt_6_6_4_p3_v7__1850,pt_6_6_4_p3_v7__1900,pt_6_6_4_p3_v7__1950,pt_6_6_4_p3_v7__2000,pt_6_6_4_p3_v7__2050,pt_6_6_4_p3_v7__2100,pt_6_6_4_p3_v7__2150,pt_6_6_4_p3_v7__2200,pt_6_6_4_p3_v7__2250,pt_6_6_4_p3_v7__2300,pt_6_6_4_p3_v7__2350,pt_6_6_4_p3_v7__2400,pt_6_6_4_p3_v7__2450,pt_6_6_4_p3_v7__2500,pt_6_6_4_p3_v7__2550,pt_6_6_4_p3_v7__2600,pt_6_6_4_p3_v7__2650,pt_6_6_4_p3_v7__2700,pt_6_6_4_p3_v7__2750,pt_6_6_4_p3_v7__2800,pt_6_6_4_p3_v7__2850,pt_6_6_4_p3_v7__2900,pt_6_6_4_p3_v7__2950,pt_6_6_4_p3_v7__3000,pt_6_6_4_p3_v7__3050,pt_6_6_4_p3_v7__3100,pt_6_6_4_p3_v7__3150,pt_6_6_4_p3_v7__3200,pt_6_6_4_p3_v7__3250,pt_6_6_4_p3_v7__3300,pt_6_6_4_p3_v7__3350,pt_6_6_4_p3_v7__3400,pt_6_6_4_p3_v7__3450,pt_6_6_4_p3_v7__3500,pt_6_6_4_p3_v7__3550,pt_6_6_4_p3_v7__3600,pt_6_6_4_p3_v7__3650,pt_6_6_4_p3_v7__3700,pt_6_6_4_p3_v7__3750,pt_6_6_4_p3_v7__3800,pt_6_6_4_p3_v7__3850,pt_6_6_4_p3_v7__3900,pt_6_6_4_p3_v7__3950,pt_6_6_4_p3_v7__4000,pt_6_6_4_p3_v7__4050,pt_6_6_4_p3_v7__4100,pt_6_6_4_p3_v7__4150,pt_6_6_4_p3_v7__4200,pt_6_6_4_p3_v7__4250,pt_6_6_4_p3_v7__4300,pt_6_6_4_p3_v7__4350,pt_6_6_4_p3_v7__4400,pt_6_6_4_p3_v7__4450,pt_6_6_4_p3_v7__4500,pt_6_6_4_p3_v7__4550,pt_6_6_4_p3_v7__4600,pt_6_6_4_p3_v7__4650,pt_6_6_4_p3_v7__4700,pt_6_6_4_p3_v7__4750,pt_6_6_4_p3_v7__4800,pt_6_6_4_p3_v7__4850,pt_6_6_4_p3_v7__4900,pt_6_6_4_p3_v7__4950,pt_6_6_4_p3_v7__5000
pt_6_6_4_p4_v10__50,0.0002116737286660289,0.00028547455155157684,0.00038342999737488664,0.00042140661355650387,0.0005550751229413056,0.0005082368308866461,0.0005446564923938309,0.0005164822993984488,0.0005218419342284312,0.0004458583177019974,0.00044657232671264663,0.0004527823918867309,0.00045585937091296275,0.00046831852382092816,0.0003887135777408258,0.0003662864659101397,0.0003860835793825096,0.0004248879317729537,0.00039063885765398056,0.00039002053594425234,0.0004731941426941203,0.00039682281537194836,0.000274688194996477,0.0003586371739107045,0.00039329899084443475,0.0004019106792691482,0.000409110535277887,0.0004067338171466282,0.00036832524661908374,0.0004099514791011164,0.0004523386048866444,0.0004524420456325898,0.00045854614531088886,0.00040929376573547695,0.0004077236415127692,0.00047574049308714414,0.00044639466518702945,0.00038080671891507615,0.00030242797882743265,0.0002927776378917311,0.00036719943902615594,0.00019512722607056468,0.0002620353482399284,0.0003056734139344062,0.0003527666104039171,0.0003201526892600085,0.00031924435657124084,0.0003357402079995237,0.0002874178231812586,0.0002826773677953258,0.0002780951209978016,0.00038038230206620144,0.0004464204301354289,0.0003706589546362397,0.0004098815438937784,0.00040336105724293335,0.0004114083060841624,0.00039638845226918425,0.00037699513706114003,0.0004212905428182931,0.0004642363828285497,0.000543819569497735,0.0005181046073804714,0.0004972984293886984,0.0004465018758028419,0.0005712129875470789,0.0005538555540145383,0.0004998334338676174,0.0004939690040865778,0.0004223124644550296,0.00043082456710829046,0.0003909144800139379,0.00034259796469420043,0.0004193105015716797,0.000436567907240418,0.00047093049194143436,0.0004816308544378176,0.0005510203490374393,0.00048177816429417444,0.00048207827569353824,0.00044284976439156604,0.0003995234462446191,0.0003520692089276486,0.0003892731970694704,0.00044829928745490156,0.0004472846387734824,0.0004707593950109785,0.00037126406932762497,0.00037678787995511144,0.0003210698794062858,0.00026091304315545993,0.0003917282889516021,0.0003461839856871427,0.00024704653877886045,0.00030625833126706695,0.00036393688493343424,0.0003610910493763574,0.00037348091602121215,0.0004062303976903806,0.00038982446156592327
pt_6_6_4_p4_v10__100,0.00035305761121489217,0.00020318708490632897,0.0002956833140070221,0.00030553690430883324,0.00038604742529306014,0.0003531628975063629,0.00037615922063976816,0.0003658291154951705,0.0003679521522503002,0.0003244263961319017,0.0003207945624316578,0.000334999608762794,0.00033023620630265684,0.0003706410467701394,0.00029097892135525696,0.000248248400511268,0.00022719666330475835,0.000280545210875519,0.00026314676519761937,0.00018039838819600569,0.00029553248303344065,0.00020899511276203285,0.00013152733918765007,0.00019489645716426655,0.00022356767905194028,0.00025227335354077144,0.00026732215979515797,0.00028780160779350115,0.00023650078229169415,0.00022852345849346973,0.00032573062414448044,0.0003263351605007478,0.0003090046252863414,0.0002685640703985748,0.00020726409554757454,0.0002734838917920233,0.000245872760752806,0.00018080211807076688,0.00017478006810677253,0.00010590207522313878,0.00020595590494250116,0.00018066562546419047,0.0001424676053459558,0.00018433827473500236,0.0001799148768376552,0.0001337831467248675,0.00017164882045941188,0.00017331365028187107,0.00015672653395714482,0.00016776773120060612,0.00017578777117257667,0.0002748730553832158,0.0003221232123149603,0.0002667339091218372,0.0002697257700240582,0.00030008712571413034,0.0002943088724703196,0.0002925600835033684,0.0002954505005542706,0.0002885950288847519,0.000302672315316297,0.000379540096474493,0.00035555200148339834,0.0003338376862510892,0.00031493143645611323,0.00040529872903579127,0.00038928632669494955,0.0003535074849768411,0.00034455861265163555,0.00030468487046209373,0.0003060666704159988,0.00027091778096851655,0.00023985781449050619,0.000315437630206613,0.00031911410102278807,0.00034175707246051945,0.00031988273389927464,0.00038786621173090815,0.00032694789380325955,0.00038441977672626663,0.00031414583721073834,0.000301774959732069,0.0002771306990738196,0.00030235210109569126,0.00032687971637807294,0.00034823413229075637,0.00037838903604968345,0.0003060194317813852,0.00030483345201864497,0.00025359783614416366,0.00019607792160357594,0.0002986518211612732,0.00028842443138484306,0.00021095306665021752,0.00023076464745432242,0.0003199431681958245,0.0002952815566905439,0.0002659764212410324,0.00029005141908380677,0.00027988006196303115
pt_6_6_4_p4_v10__150,0.00042857660045047803,0.00027490292219587846,0.00036795080859908187,0.0002927407100874339,0.0003344158838698083,0.0003250962486011729,0.0003382822730601566,0.00033981073706359154,0.00033990207073182556,0.0003120661719258809,0.0002959609727492911,0.0003250640153890431,0.0003331772779307139,0.0003878331036215941,0.0003086151493836175,0.00025045859960755106,0.00021052076935656273,0.00024211736482359633,0.00023516837915726012,0.0001329845315864547,0.000223157679035984,0.00017486570017438355,0.00014651559317900643,0.0001801111939316328,0.00019286361171703031,0.00022483363959301816,0.00023596571933790346,0.00027759519980391636,0.00023292682293793042,0.00020149612876502345,0.000297084905684525,0.0002953366236777532,0.0002790062635458279,0.0002163251236649065,0.00014660455097052858,0.00017267567963068323,0.00016165650718442487,0.00012141739993809866,0.00016371347569717827,0.00010243396798730991,0.00016579975602765948,0.00023322454725718074,0.00017811003044540595,0.00017004903940511206,0.0001585875417867864,0.00012707369431389366,0.00017756467581194006,0.00017456770383174436,0.00016629048102583102,0.0002112770693077705,0.00020482565889101201,0.0002987273234499784,0.0003109811920804063,0.0002744208869288151,0.000267977262788979,0.00030803447353274307,0.0003197769653465,0.0003038379384444981,0.0003515006512684872,0.00031690106277133784,0.0003059409412617572,0.00033906212243468804,0.00030893901344626465,0.00030379726172115003,0.0003091016104051483,0.00034423151273097125,0.00033941707303489075,0.00032294674734143375,0.00031923784087743826,0.00028822372613007626,0.00030485638037024414,0.0002617328384779257,0.00027304538591585046,0.0003386524012667187,0.00030300297934944456,0.0003163731262873394,0.00028175670427235607,0.00033359922092595826,0.0002891531771676406,0.00043327963705815293,0.000363406353523316,0.0003366323393635143,0.0003261665987685043,0.00034845222212660684,0.00037488231888086127,0.0003951047534242336,0.00043571545429688693,0.00036529849914084965,0.00037625167249908325,0.00031939962142634863,0.0002678324612009117,0.0003573852270840311,0.0003544966721005627,0.0003071349230230944,0.0003052089485529654,0.0003767244671024925,0.00035543184012983204,0.0003192478534896786,0.00033902854962465374,0.00031961577650664786
pt_6_6_4_p4_v10__200,0.0004064555725286306,0.00020146727520271575,0.000284043561814735,0.0002487446577650435,0.000311300167907234,0.00029453184436949425,0.00030363819525818913,0.00030539803287779843,0.0003069259517488192,0.0002628406201408129,0.00026031510477308875,0.0002728966375063469,0.00026911216982854165,0.0003250209685780372,0.00024493773939956434,0.00018648339924708283,0.00017034714907215447,0.00023168313989329015,0.0002007432308851735,0.0001270511771007323,0.0002464450314075765,0.00014265062360342869,0.00014999065061988936,0.00015107609811940883,0.00016212520666459486,0.00019336402061861685,0.00020730180560927662,0.00024865918042661303,0.0002026171760198572,0.00017101377987469404,0.0002697227104370795,0.0002661952838261931,0.000249665935441596,0.00022240515523264104,0.0001582804576090605,0.0001989130645977776,0.00018475883737948805,0.0001326849741767784,0.00013368158567597427,0.00011687447282801019,0.00017722174384074337,0.00023171159490336193,0.00017897680364371363,0.00017309519129395955,0.00013340733708819673,8.553628586109393e-05,0.00014085086793816048,0.00012426880813303998,0.00012706105839933965,0.0001493492641522527,0.0001468243805270725,0.00024327467045111946,0.0002827754102902102,0.00023434823979088344,0.00023274227817392322,0.0002590042865934199,0.0002615955346914854,0.00025650463044197825,0.0002894449499724706,0.00026358868378710727,0.00025145808784226144,0.00030930427411982275,0.00028539914040364,0.000269224006685996,0.00026668057032193534,0.00032755564111516355,0.0003155499141078333,0.0002923636813531563,0.0002913903753921718,0.0002582185489303901,0.0002673232247193581,0.00023329663993555753,0.00021126463702268863,0.0002870287091053335,0.00027468742780065235,0.0002856883634794645,0.00025649442959931886,0.0003174915430719777,0.00025997680131981885,0.000369969176367173,0.00030067382446016637,0.00027324982402687314,0.0002631527393477002,0.00028527191573033637,0.0003118840965609181,0.00032558781137987416,0.0003697085248979793,0.0002979125407062722,0.0003049984397408455,0.00024814695159164904,0.00023411108865122984,0.00028703729137996505,0.0002846040301112361,0.0002731026413702721,0.00023392304856168983,0.00030852119727061404,0.00028412097677936525,0.0002480451415311385,0.00026806294148827337,0.0002554822226228926
pt_6_6_4_p4_v10__250,0.0004222542056803412,0.00023724359197498335,0.00033040727585255137,0.0002487733757910187,0.00029719481025567844,0.00028609885084978964,0.0002886836134891384,0.00029252800894345423,0.0002957076747372795,0.00026511656068704684,0.00025177387901916665,0.00027410887098884573,0.0002806733604091401,0.00033817049633925566,0.00025985747616739886,0.00019366672169742404,0.00016970672816589508,0.0002050636413060759,0.00019149539446281703,0.00010433723347167046,0.00021988217224269094,0.00013601469916540507,0.00013688736759169675,0.0001469046461027207,0.00015111527997943664,0.0001871455925132699,0.00020298319283435296,0.00024042228480568577,0.0001945782544050492,0.00016380338712981891,0.00026571029645392895,0.00026221374234032096,0.0002446150103163831,0.00019969151927446658,0.00013556771054771378,0.00016916115514284332,0.0001581401841327162,0.00010731876290989931,0.00012957986123008548,0.00010609492691148687,0.00015420554171914966,0.00023345005239986085,0.00017430337330919337,0.00015892091008321425,0.00011821050428352295,8.603667439311815e-05,0.00013519913755462084,0.00012929611706233873,0.00013233743637306808,0.00017177693088183126,0.0001662374434980497,0.00025676614403374014,0.0002790168682674738,0.00023583553371145813,0.00023620168162644757,0.00026749602359978883,0.00027918044334115596,0.0002640372939009674,0.0003094477453128049,0.0002752523865767778,0.0002632188437924473,0.00030245413389422553,0.0002762345950947276,0.00027007682079446967,0.0002695636449854924,0.0003058755362690962,0.0003050335041549033,0.00028758032846592553,0.00028771557219351004,0.0002545448802869859,0.0002669910889365539,0.0002293308928367451,0.00023172986742198246,0.00029563626938654644,0.00027042109518626275,0.0002808224437090354,0.0002472396012611393,0.00029662651542490136,0.0002468259244821676,0.0003874742060200579,0.0003206590291622611,0.0002925303031772396,0.0002833629332966629,0.00030485560529035823,0.0003317087312075353,0.0003538990718513341,0.0003954162996648823,0.0003253818531196573,0.000336334141258842,0.0002794823003171976,0.0002594363989926601,0.0003163062107957681,0.00031417567606712696,0.0002980908113051404,0.0002652583741724226,0.0003367580923669603,0.00031545618521205574,0.0002793283071462731,0.0002958576494908409,0.00027969755333001606
pt_6_6_4_p4_v10__300,0.00041298735310336444,0.0002035312619576329,0.0002940250140314825,0.000225090562538997,0.00027496617219710843,0.00027160935696232485,0.000277165609589451,0.0002813650006297529,0.00028357264353855844,0.00024905463923271306,0.0002390781920849586,0.0002591497375104664,0.00026470072106796763,0.00032225180709107444,0.00024282940397967622,0.0001798451937934222,0.00019424999665838607,0.00024380932769933625,0.00018144414126490944,0.00014117197824505814,0.00025884030695669317,0.00012303114772210956,0.00014368936433949202,0.00013256515282203456,0.0001409246901981081,0.0001752519906842399,0.0001907759533085421,0.00023034736760763132,0.00018395408653700917,0.0001510391484055778,0.0002648464680263369,0.0002473230057477282,0.00022877844305461728,0.00023270453753368035,0.0001701411764087048,0.00020679655937396097,0.00019485282748807272,0.0001431623183834143,0.00012646095793366163,0.00011632071709384047,0.00019113265521934118,0.00024947444451963027,0.00017925653205041222,0.00016545108374136432,0.00014353067834115522,8.635481183256745e-05,0.00011997136754124002,0.00010903677210695112,0.00010911819658867773,0.00014901569961830118,0.00015971336181622416,0.00023645946712265865,0.00028625096025646093,0.00021658556030498667,0.0002585640721600207,0.0002665376052278586,0.00026093023074183534,0.0002443575206869824,0.0002882360703784919,0.0002540121724651024,0.00024221341345918748,0.0002847535623013784,0.0002494608020686322,0.0002444635815428578,0.0002496572501186755,0.00028894381213071375,0.0002868089257364289,0.00026921692354419226,0.0002708273825617525,0.00023600979235857109,0.00024696707446856007,0.00021146066496801496,0.00021083753113427346,0.00027265514819182373,0.0002511536516949656,0.0002628764909120806,0.000228993996771713,0.00027870598181568704,0.00022693515738583263,0.00036925784471162596,0.00030028219998513904,0.000271643662580609,0.0002605591505595602,0.00028405326350814693,0.0003102838889399472,0.00032623607952100354,0.00036958197416149204,0.00029712158250799,0.000308739855199537,0.000252030861192379,0.00024780121938329,0.0002896949611436983,0.00028726330269256416,0.0002867141627051604,0.00023699822329711516,0.00030951785553586116,0.0002880774642720689,0.00025862538355957035,0.00028690520617318937,0.00026430907696300585
pt_6_6_4_p4_v10__350,0.000409155899144661,0.0001715074005710808,0.0002543954210950107,0.0001890291933397334,0.00023403164409543803,0.00022829429349258376,0.00022659653154149896,0.0002320570280027455,0.00023598326537079673,0.0002156227636193751,0.00019447866350693385,0.0002177758221795154,0.00022163492172663627,0.00027917746262035297,0.00021765187249048353,0.00015431275792053236,0.00024252125563340284,0.0002830185854274774,0.00021860543816508033,0.00018035814005340817,0.00029804407738525957,0.00014076645490549797,0.00011692032369283097,0.0001504017434168656,8.93501041747217e-05,0.00015132135465372771,0.00022998382490052696,0.00018093325483406608,0.00013202064941934816,0.00017753452193405142,0.0003041073959324551,0.0002014681399212798,0.00018302963712561263,0.0002712760888081746,0.0002093249644321782,0.00024600385978536027,0.00023406052750786963,0.0001824371019044448,0.00015383094817517085,0.0001582528686735702,0.000230976952812616,0.00026419205305883397,0.0001971652551278592,0.0001518171459911635,0.0001819385909940165,0.00011922675979685399,0.00010624832626889244,8.282974525207193e-05,0.00010536872589152263,0.00010330180458494905,0.0001954964678375698,0.00023481002267500799,0.00032505249366427644,0.00023757789782234207,0.00030350363698805545,0.00031100915972770324,0.00025913521854686633,0.00021724382628017877,0.00023450634016400956,0.00020408943278192766,0.00019537926303866293,0.000239058625994267,0.00019871019984153273,0.0001934332858475356,0.00020124700183191466,0.00024216623705751748,0.00023921009098857205,0.00022367768335824676,0.00022527339498737626,0.00018937170235768183,0.0002068384191774174,0.0001882621272344656,0.00017614600363056912,0.00027738285911391354,0.00020468877602497672,0.00021605633326057217,0.00018097902594175512,0.00023319526001604597,0.00018505282357231243,0.00032760637121496386,0.00025535097103781916,0.0002273407248156388,0.00023422329331002217,0.00023427018365846056,0.0002590078710531401,0.00027604867913065393,0.00031777477244633535,0.0002534423251223285,0.00025883078275942123,0.00020184628459455972,0.00021847352643315304,0.0002391279603051107,0.0002367484610340426,0.0002541351134529497,0.0002538144155958464,0.00027859701301347984,0.00023804055236651312,0.00029436508161457414,0.0003245972975030353,0.00029769770897432096
pt_6_6_4_p4_v10__400,0.0005109229509127268,0.00029054236664832154,0.0003204936758292813,0.00021414639290872896,0.00023297770984036546,0.00021273259801202755,0.00022089124793533594,0.00021494085937424093,0.00021646290826835964,0.000216733065870745,0.00018532670524153258,0.0002339023499058752,0.00024230759204558593,0.0002968180333996525,0.00022100427156894007,0.0001670632979529255,0.00014690662591391172,0.0001740581480052452,0.000121750550626569,9.337950543675967e-05,0.00017063787880305153,6.428866652405991e-05,0.000207205170536266,0.00010612685048982954,0.0001198713115687939,0.00010114846998991774,0.00011452652718061932,0.00017166154127756369,0.00013585502770350544,7.716234401461015e-05,0.00017962521218141191,0.00017572188540750366,0.0001873200606909986,0.0001681224077034016,0.00010253600655536807,0.00011898944229142401,0.00011676971390414001,0.00013284758031404062,0.00018643036233053321,0.00016784660696089038,0.0001736328664893763,0.00031946307390855384,0.000251280439722377,0.00020649931526345278,0.00016210024923835425,0.00014443021009693922,0.00018030011211978708,0.00017088549131364243,0.00018401339374421227,0.00024192345652847706,0.0002320721820449477,0.00022170443974202283,0.00023067007073829685,0.0002086872677800776,0.00022224156163687343,0.0002284410078721132,0.00024058956585512416,0.00023029829365743792,0.00028354166007965803,0.00024080152465977514,0.00024144272842425169,0.00021289084325635968,0.00023129479477508643,0.00022561969472328536,0.00022281271822333044,0.00021806876559113327,0.0002211368444089357,0.00019836207074039566,0.00021183590963540623,0.00020203543804629988,0.00021854102575449217,0.00016000893500496083,0.00020140578355588398,0.0002637275580718714,0.00020640618656522016,0.00020487652900747386,0.00022468523700450705,0.00022250402690439817,0.0002529647314759273,0.0003507913651047942,0.00028617691865858526,0.0002597425222984713,0.0002705207008182492,0.0002843206462602895,0.00031296315382045397,0.00034703027455578535,0.0003800295862625019,0.0003158227568603723,0.0003649470443018129,0.0003439416946770831,0.0003476531617981512,0.00033221310880229897,0.0003467712811401797,0.0003818169558718771,0.00031893153592845184,0.00033554475327781833,0.0003354527110886427,0.00030889880388400184,0.0003033592153960072,0.00027064798778128
pt_6_6_4_p4_v10__450,0.00045465182301298657,0.00018897297235379398,0.00021282340648606722,0.00016516959641147433,0.00021842621531585323,0.00021380414006423804,0.00021229835552070343,0.0002187474178486659,0.00022265208001832432,0.00018949096619472642,0.00018051084012529468,0.00019709771722585407,0.00019841419502418945,0.0002565588835548031,0.00018412461301066358,0.00012133367338762753,0.0002095734312392114,0.0002641168937238453,0.00019832984933406127,0.00018554203439578718,0.000279140150143032,0.00012386108592057218,0.000169640941546931,0.00015547253637187184,0.00011107593567711817,0.00013038101266678358,0.00020894717899478586,0.00017387310189126884,0.0001319732940597282,0.00015855069243406398,0.00028325463675937443,0.00018652078739735857,0.00018743867255341476,0.0002506909042958473,0.00019020518372384187,0.00022704591860919215,0.00021634032050782076,0.0002074164928460259,0.00019815087478234906,0.0002011355217032292,0.0002460390149530194,0.000303470633789436,0.00023657427504008123,0.00019110417462012404,0.00020810319964179649,0.000155959118853989,0.00014451414741055075,0.00012459728926523291,0.00015176310881706364,0.00016211487294776622,0.0002418540649952961,0.00019712880888789175,0.00030503384550671213,0.00021013559004612653,0.00026895871691915617,0.0002761101119574657,0.00022382227260130943,0.00018141271810012094,0.0002077470013920787,0.000180667185678861,0.00018113949475692808,0.00022608028757288058,0.00018048178245779996,0.00017351758547673086,0.00018366224542219024,0.00023006640444663034,0.0002262149757412079,0.00020874295818383318,0.00021107509389830937,0.00018534444232650742,0.0001866039739232141,0.0001691640124918325,0.000151560544073209,0.00025699629643350877,0.00020195160737018655,0.00020412146764976134,0.00021370516409468013,0.0002201146643145053,0.00020942632417136407,0.0003043423558082378,0.00023232152480080182,0.00020431088975660905,0.00019513536584844505,0.00020731393268119891,0.0002322292404599591,0.0002488431339277789,0.00029066924218041994,0.00021802387721924654,0.0002660994095868988,0.0002455375076012638,0.000261553625704355,0.0002337935088091502,0.0002486115767067308,0.00029828962066513737,0.000276192919779057,0.0002481107335325459,0.00023726365391514914,0.00029193059794363176,0.000293789949299958,0.00025557735992889707
pt_6_6_4_p4_v10__500,0.0004319916943916423,0.00019548111448839065,0.00017692530711747065,0.00013250891702879593,0.000179412698977605,0.00016756969402536453,0.00016694734625879616,0.0001736186833413364,0.00017754565273320503,0.00025604774715134803,0.00019120727679205706,0.0001687304954326205,0.00015129738242551297,0.00021329921229456161,0.0002747967674011213,0.00021102705428968822,0.0003002455239970855,0.00034389367541901456,0.00027803337298644914,0.00023737057180771073,0.000358944211100389,0.00020166446599720114,0.0002038849115226166,0.00020735260031346322,0.00013542595158690424,0.00020833558986173295,0.00028740261033036364,0.00022272268033970535,0.00017567803807803638,0.00023835506932394965,0.0003610460820414517,0.0001654988049375822,0.00012374881885766692,0.0003287588595930571,0.00026633777359742815,0.0003068782149835096,0.0002949492446838579,0.00025441442406246717,0.00024216312711530067,0.00024548815419620976,0.0002875658013197201,0.0003310911428727154,0.0002628903501466239,0.00022174219162062194,0.0002550999859991468,0.00018375828955629456,0.00016374706589433773,0.00013415518297765034,0.00017778846898365276,0.0001679282220976226,0.00027213651350923847,0.00027553363358636366,0.0003818287019789297,0.00028399767039141884,0.0003567922688553942,0.00036429849463928893,0.00031238607236960375,0.0002691209611364361,0.0002119574416321264,0.000125192366555785,0.00012170586354924909,0.0001804060575372982,0.00014631801390296902,0.00013191156450913352,0.00013811112156130034,0.00018526907686824287,0.00018050547507727084,0.00016396809867933175,0.00016202566279044565,0.0001456798861868545,0.00019584305047892376,0.0002432440155396306,0.0002319749195440234,0.00033101993140851715,0.00015887364749274667,0.00015441337694894444,0.00011896080127785246,0.00017154566355582427,0.0001259629930785116,0.00024859496713987956,0.00017657512972319608,0.00019717628982187486,0.00025923870196209486,0.00020566306057890078,0.00023605506436420804,0.00024181237196051902,0.0002747335240595023,0.00026277613715004587,0.00023656732459236042,0.00021805435711956373,0.00027384367793836567,0.0001900582166187745,0.00024714144753013257,0.00030543401302195313,0.00030420943414233704,0.0003036144785359961,0.00025377700416562835,0.00031991770149773427,0.00034942904761735874,0.00032077935880887295
