,pt_6_6_4_p3_v7__50,pt_6_6_4_p3_v7__100,pt_6_6_4_p3_v7__150,pt_6_6_4_p3_v7__200,pt_6_6_4_p3_v7__250,pt_6_6_4_p3_v7__300,pt_6_6_4_p3_v7__350,pt_6_6_4_p3_v7__400,pt_6_6_4_p3_v7__450,pt_6_6_4_p3_v7__500,pt_6_6_4_p3_v7__550,pt_6_6_4_p3_v7__600,pt_6_6_4_p3_v7__650,pt_6_6_4_p3_v7__700,pt_6_6_4_p3_v7__750,pt_6_6_4_p3_v7__800,pt_6_6_4_p3_v7__850,pt_6_6_4_p3_v7__900,pt_6_6_4_p3_v7__950,pt_6_6_4_p3_v7__1000,pt_6_6_4_p3_v7__1050,pt_6_6_4_p3_v7__1100,pt_6_6_4_p3_v7__1150,pt_6_6_4_p3_v7__1200,pt_6_6_4_p3_v7__1250,pt_6_6_4_p3_v7__1300,pt_6_6_4_p3_v7__1350,pt_6_6_4_p3_v7__1400,pt_6_6_4_p3_v7__1450,pt_6_6_4_p3_v7__1500,pt_6_6_4_p3_v7__1550,pt_6_6_4_p3_v7__1600,pt_6_6_4_p3_v7__1650,pt_6_6_4_p3_v7__1700,pt_6_6_4_p3_v7__1750,pt_6_6_4_p3_v7__1800,pt_6_6_4_p3_v7__1850,pt_6_6_4_p3_v7__1900,pt_6_6_4_p3_v7__1950,pt_6_6_4_p3_v7__2000,pt_6_6_4_p3_v7__2050,pt_6_6_4_p3_v7__2100,pt_6_6_4_p3_v7__2150,pt_6_6_4_p3_v7__2200,pt_6_6_4_p3_v7__2250,pt_6_6_4_p3_v7__2300,pt_6_6_4_p3_v7__2350,pt_6_6_4_p3_v7__2400,pt_6_6_4_p3_v7__2450,pt_6_6_4_p3_v7__2500,pt_6_6_4_p3_v7__2550,pt_6_6_4_p3_v7__2600,pt_6_6_4_p3_v7__2650,pt_6_6_4_p3_v7__2700,pt_6_6_4_p3_v7__2750,pt_6_6_4_p3_v7__2800,pt_6_6_4_p3_v7__2850,pt_6_6_4_p3_v7__2900,pt_6_6_4_p3_v7__2950,pt_6_6_4_p3_v7__3000,pt_6_6_4_p3_v7__3050,pt_6_6_4_p3_v7__3100,pt_6_6_4_p3_v7__3150,pt_6_6_4_p3_v7__3200,pt_6_6_4_p3_v7__3250,pt_6_6_4_p3_v7__3300,pt_6_6_4_p3_v7__3350,pt_6_6_4_p3_v7__3400,pt_6_6_4_p3_v7__3450,pt_6_6_4_p3_v7__3500,pt_6_6_4_p3_v7__3550,pt_6_6_4_p3_v7__3600,pt_6_6_4_p3_v7__3650,pt_6_6_4_p3_v7__3700,pt_6_6_4_p3_v7__3750,pt_6_6_4_p3_v7__3800,pt_6_6_4_p3_v7__3850,pt_6_6_4_p3_v7__3900,pt_6_6_4_p3_v7__3950,pt_6_6_4_p3_v7__4000,pt_6_6_4_p3_v7__4050,pt_6_6_4_p3_v7__4100,pt_6_6_4_p3_v7__4150,pt_6_6_4_p3_v7__4200,pt_6_6_4_p3_v7__4250,pt_6_6_4_p3_v7__4300,pt_6_6_4_p3_v7__4350,pt_6_6_4_p3_v7__4400,pt_6_6_4_p3_v7__4450,pt_6_6_4_p3_v7__4500,pt_6_6_4_p3_v7__4550,pt_6_6_4_p3_v7__4600,pt_6_6_4_p3_v7__4650,pt_6_6_4_p3_v7__4700,pt_6_6_4_p3_v7__4750,pt_6_6_4_p3_v7__4800,pt_6_6_4_p3_v7__4850,pt_6_6_4_p3_v7__4900,pt_6_6_4_p3_v7__4950,pt_6_6_4_p3_v7__5000
pt_6_6_4_p4_v10__50,0.0003185539332197344,0.00034994323884986493,0.0004564490927235796,0.0006130889483293477,0.0006972738435581853,0.0006543440803536316,0.0007131123141682124,0.0007032079644401995,0.000695742332045344,0.0006187477960684171,0.0006706199047750185,0.0007226533310611866,0.0006796071408708966,0.0006734940133920851,0.0005354106229066019,0.0005806041795341543,0.00045052234483191483,0.00041289770264239806,0.0004654457260001404,0.00040724522722697024,0.000460262802575762,0.00042839454294649323,0.0003798539561350281,0.0003658618243620788,0.000456240504776005,0.00048880856023097,0.0004958430688833577,0.0006486654480670427,0.0005587278705393838,0.0006254965317080915,0.0006586386954672537,0.0007691184830443741,0.0007562948602810203,0.0004208314832787587,0.0004547953072247577,0.00044699308978918403,0.000422836965740563,0.0003263302343744595,0.00045715454424910627,0.0004779623126637847,0.00037559229236833755,0.00044831191049616616,0.0005140459446831308,0.0005708222437374368,0.0005256675792612128,0.0005546653640268178,0.0005606968032818393,0.0005302415777031647,0.0004768047457941146,0.0005386340207432108,0.00037426579550150715,0.0005856203972358465,0.0005540997126172293,0.0006086092353650507,0.0005529711484519389,0.0006290956688489434,0.0006221530187382348,0.0006889259545169218,0.0006078017770393666,0.0007511656209306312,0.0007239711039937357,0.0007614799949270119,0.0007555601437778816,0.0007604314286168666,0.0007037380510260772,0.0007773688800405348,0.0007808541628623092,0.0007344635323472441,0.0006798643231868391,0.0006161171249292462,0.0006764567106379892,0.0005671581059115719,0.0004590263750242791,0.0005208767128352862,0.0005868434875383877,0.0006789861289421072,0.0005714155988410712,0.000651281141544697,0.0006880646593608457,0.0005355343307680336,0.0005531755129147021,0.0005430976794752409,0.00048284792286481344,0.0004884154339383071,0.0005210914163689036,0.0005069804047628421,0.00045603792704737464,0.0004419264685518044,0.0004496671257864926,0.0005455292748379202,0.00042998569153170367,0.0005873923248564875,0.0005814802252274743,0.000550875846372008,0.0004229357485253005,0.00043918911059109904,0.0005220436996784865,0.0005491374240343418,0.0005932047044359675,0.000514760330447023
pt_6_6_4_p4_v10__100,0.00030521189119277187,0.00028160639625257426,0.00037925885752368026,0.000467648305127513,0.000549700850848473,0.0005067631272775913,0.0005703270471446497,0.0005572794484496857,0.0005513805357719964,0.0004740824141115592,0.0005246899154222433,0.0005767264694904969,0.000533678544655962,0.0005655488534441566,0.000448708122868622,0.00045675562682789844,0.00033890891179703844,0.00028086578069430325,0.00031951883500176204,0.00012050135195720697,0.0001656424503272251,0.00027380428144664463,0.00023392725679575825,0.00021601708576969242,0.0003103138061424558,0.0003429043501722904,0.0003489722470875847,0.0005021654360554914,0.0004128234142743787,0.0004779385362856963,0.0005110797305569817,0.0006215598879975131,0.0006087362215693183,0.00021397855448522618,0.00017781364358754591,0.0001676888690352848,0.00014802348932815992,0.00013998097649368135,0.0003845123090075664,0.000395329096244683,0.00022900215001914374,0.0003923260896925705,0.00041728244660503187,0.0004223072040663299,0.0003799877360542446,0.0004061515188808965,0.0004138369199059071,0.000384600798568638,0.0003358926099222726,0.00041053204798010857,0.0003218983600578511,0.0004621183464394766,0.0004389817375452281,0.0004610266191557469,0.0004065473847499944,0.0004815142172678422,0.0004745714422693049,0.0005413435751825183,0.0004998545480596303,0.0006035820566494346,0.0005785170296887232,0.0006139202707532852,0.0006079759979749886,0.0006128471909174517,0.0005561557770548101,0.0006298091085490074,0.0006332922049447202,0.0005868815800016833,0.0005322823272885785,0.0004685357549639374,0.0005288748809304174,0.0004195744141087219,0.00034059751726693013,0.0003716698891831618,0.0004685845131442751,0.0005314264391700189,0.0004534627623677714,0.0005221937162973483,0.000539549581824643,0.0004376956526084991,0.00043797921614498165,0.00042069657671740503,0.0003692304204145761,0.00037528110040626093,0.00040653163008753923,0.00039894657997897805,0.00036831679321893123,0.0003214225284202065,0.00035294181184749977,0.000424210629548459,0.00031946474900812895,0.0005003689381426785,0.0004953959966113377,0.0004379224755446875,0.00035054074779071335,0.0003734831606365027,0.00046848996550853087,0.00047050130186599315,0.0005168055762636557,0.0004558789341238137
pt_6_6_4_p4_v10__150,0.0003276600538356844,0.00027755486771847304,0.00037309207792992884,0.0004023943760005113,0.00047867329606063433,0.00043459956306285906,0.0004988170532384998,0.00048540691872888536,0.00047937623293445254,0.0004144278683555859,0.00044872018303520575,0.0005010922155620575,0.0004668495970052309,0.0005041025113931448,0.00038836519580430907,0.00039687684743193035,0.00027791858095883306,0.0002197159678205725,0.0002464047163896725,7.012754110418827e-05,0.00012829073035277937,0.0001978720737963201,0.00018087704917213343,0.0001397985019593428,0.00023581227732431855,0.00026640869527953055,0.0002735305232056919,0.00042534698847346313,0.00033506970055538574,0.0004021787566565564,0.0004358689979961955,0.0005459065048283493,0.00053344069935103,0.00014124034415019136,0.00011956245806232354,0.00011073881157775735,8.659545989486283e-05,9.557629210225354e-05,0.00035518822042285037,0.0003547951141394817,0.0001584059291354933,0.000380925134711228,0.00039105111280030247,0.0003514546937469448,0.00032044850147008766,0.00033842777971060964,0.00034443002047093626,0.000315668795909198,0.00028509168136174265,0.0003692393166650148,0.00031718648042806995,0.00041536632725936026,0.00040832442172224957,0.00040486792626123877,0.00034849814636881066,0.000421965040334275,0.0004162056072131145,0.0004675398116774976,0.0004651480291974026,0.000529358801651202,0.0005189799686698623,0.0005391945178907246,0.0005337535147130068,0.0005386227757433473,0.0004883216163860081,0.000554052654429911,0.000558217673220327,0.0005126572460473059,0.0004732285120655529,0.0004154076369633945,0.00045995017825440406,0.0003495275425840147,0.0002941889341285098,0.0003256352492744134,0.00042092661617999533,0.0004789482916328951,0.00040774894413989575,0.0004785790439402145,0.00047050348674079447,0.00040617979091071594,0.00039442195936859037,0.00037713885631920354,0.000326820279280992,0.00033321020821706264,0.0003644611264402201,0.00036859629665042873,0.00033796823854358805,0.00028945561544157025,0.0003225911874374252,0.0003793813331559423,0.0002799216316976322,0.0004555387811475836,0.0004451615958708262,0.00039422467556222106,0.0003217819419983047,0.00034357203642484805,0.0004381472868283798,0.00042756479529100413,0.0004747001990630476,0.00042578769548539297
pt_6_6_4_p4_v10__200,0.00026107025921486525,0.0001998288257568328,0.00028634506067085427,0.0003883851418740155,0.0004695463427599199,0.00042465029269499036,0.0004892763740360569,0.0004760245115061302,0.0004699947771282468,0.00040791512139046285,0.00044059912340264304,0.0004913170765624518,0.0004574715752939148,0.0004971633107166864,0.00038094392886800065,0.00038986703170052937,0.00027090642712276463,0.00022261413397839874,0.00023765410263758648,0.00013460682465144227,0.00019478175688317074,0.00018908736606287598,0.0001882658554165704,0.00014725867152813593,0.00022642983076275253,0.0002593466707158772,0.00026703827400397325,0.00041986100039020615,0.00032884343296779106,0.0003966925329906714,0.0004298480052942789,0.000540316171246581,0.0005274901238044066,0.00013320593726500577,0.0001618715186913434,0.00016884080776186701,0.0001337081269988217,0.00010446424803604515,0.00034753750433008386,0.00035761027808386476,0.00015387811640052345,0.00035895286683164374,0.0003869807980981581,0.00034959484144361634,0.000317453744666153,0.0003329125689617158,0.0003386628802273469,0.0003086567060959797,0.00028963271483752084,0.00034615278785907455,0.0002950841528920365,0.0003975533317724257,0.00036246760352483704,0.0003841678020839567,0.00033983503679625287,0.00041545416556345937,0.00040361199993408037,0.0004621844182550717,0.0004347569823583907,0.0005215260079871144,0.0005136235606069139,0.0005326782433317154,0.0005256325919759049,0.0005305030243629529,0.00048180824103063736,0.0005485660829982333,0.00055204927778926,0.0005045339031457135,0.0004499364097745689,0.00038680484000493446,0.0004469911767936732,0.0003380635586517675,0.0002457878489731784,0.00027710310619349655,0.00037583734966840096,0.0004515246069115604,0.0003630634032198304,0.0004314373385912289,0.0004615616533870457,0.00036039868491765607,0.00034719330513211335,0.0003303328414853722,0.00027987740225034414,0.0002850809744566916,0.00031717568324637945,0.00032161585890103794,0.0002909587405436002,0.00024235386843762815,0.00028055870702859776,0.0003526231250508646,0.00025059672367642083,0.0004287812731240023,0.0004308349968173568,0.0003691256251139534,0.0002746090036179291,0.00029643068829045315,0.0003911304933791226,0.00040414391946687843,0.0004509221866980395,0.0003787891447259322
pt_6_6_4_p4_v10__250,0.00024862388942622463,0.00019226943352102242,0.00024456138741092535,0.0002679954000328521,0.00033811121331194985,0.0002957850572705553,0.0003465496402017134,0.00033416833874600144,0.0003299398723091388,0.00026990846833442855,0.00030414362687806925,0.0003534865322430959,0.0003290348880070623,0.0003585103814837049,0.00024865372117649536,0.00025025934311402793,0.00013676699094428992,0.00010847055098688703,0.00010546149099126479,0.0001643752923436836,0.00020816196157399255,6.356488777147512e-05,8.45693791825659e-05,5.4326913763199364e-05,8.457705018892717e-05,0.00012482209504489228,0.00013251713728374136,0.0002855018203324548,0.00019472075513791862,0.0002622749949926462,0.0002957255906627757,0.0004057938025772307,0.0003929696086777252,9.534675177618195e-05,0.00017290834612539697,0.00017972908856064986,0.00014441852085850384,0.00013178191550324603,0.0002756636352689298,0.0002796341127799159,4.664981568778209e-05,0.00030193950225038417,0.00030767636909469036,0.00024547827181285286,0.00021023854274016354,0.00020739776671595804,0.000208012653638917,0.00017385202207192144,0.00019322908242293952,0.00024147151388050813,0.00023014457175839456,0.0002783510871774688,0.0002752034484033197,0.00027185892129571077,0.0002114612685070134,0.00028335565959388786,0.00028278847868763355,0.00032793942102479355,0.00032750264257874664,0.0003854690970585852,0.00037858567961746297,0.00039815453806566235,0.000390490898269163,0.0003947744321406393,0.0003465405581444829,0.0004140440367301194,0.00041752858513013317,0.0003699682060708197,0.000336202828375312,0.00027894458056570667,0.0003233356609305224,0.00021529227828363985,0.00015749093168204882,0.0002531777132673438,0.00028950664395363854,0.0003477158842128292,0.00027663174297250074,0.00034413409635070905,0.0003342985646123505,0.0002731548278864734,0.0002588492837158746,0.0002439387776649604,0.00019175427408207505,0.00019549744521723408,0.000229072641235706,0.00023140052401667092,0.0002352347081697184,0.00017393094193179773,0.0001852856718833215,0.00024128660881332263,0.0001748873515401433,0.0003138201790747939,0.00030444424063972105,0.0002519875411682081,0.00018427234491069422,0.00021091575833353423,0.00030083338390048527,0.00030632521960963845,0.0003347018336709109,0.00028857299705976685
pt_6_6_4_p4_v10__300,0.00025534981434676367,0.00020834341622535997,0.000233264742151292,0.00025373436818077724,0.0003212707051116608,0.0002758872190228716,0.0003355499409327974,0.0003217864222865217,0.00031798935763766543,0.000258783063978131,0.0002847224411990962,0.0003408897340726458,0.0003212648241168346,0.00035112157650949485,0.00024250771464522263,0.00024274467775439965,0.00013211939393972745,0.00010534909606822981,0.00010189394375455149,0.00017547246369649107,0.00021390818908848902,4.2912889526291735e-05,8.247667711758156e-05,5.8190229147690064e-05,7.534712368828904e-05,0.00010269711594153999,0.00010922879600890596,0.000262488556023484,0.00017490258989762928,0.00023926194899233727,0.0002727152267146078,0.0003825066392000319,0.00036968246493601853,0.00010079940989078121,0.00017982573983532955,0.00018594005330693184,0.00015008416662739253,0.0001465368434112109,0.0002620985704049752,0.00026311233032676515,4.844106432774147e-05,0.00028679535896212614,0.0002993650251079714,0.00022906894364901835,0.00020211733953898387,0.00019790388390860544,0.0001972608811870167,0.00016794557396113152,0.00018639724934523325,0.00023463593278767205,0.00022525485616946536,0.0002659332812240509,0.000263317298209328,0.0002574845663747619,0.00019779948391508755,0.00026939619334635133,0.00026841402473141036,0.00031456194975542094,0.0003152195004258935,0.00036575441943417764,0.00036527018194233436,0.00037508112414446314,0.00036975355819740964,0.0003749684260928633,0.0003332249531689937,0.0003907556881856821,0.00039423952163407123,0.0003480890588458546,0.000315968885489162,0.0002617697673689613,0.0003049552529780359,0.00019288993810192027,0.00014216876750841072,0.0002583050362263616,0.0002657398786195147,0.0003243624469393633,0.00025328615335074646,0.00032293819269124403,0.0003143522304693062,0.00025913290696687603,0.00024247201517443867,0.00022161964964349958,0.0001708477462720414,0.00017962841878096765,0.0002084299104628611,0.00021993499977643587,0.0002396514112166531,0.00018088590591868874,0.00017393114108174676,0.00022984211763014284,0.00017928668690374498,0.0003026352727144293,0.00029308915247303063,0.0002404697928140433,0.00018835993559354177,0.0002173942320700266,0.0002894775097390429,0.0003001524519960607,0.00032255282656212434,0.00027686955115786274
pt_6_6_4_p4_v10__350,0.00026478048781020125,0.00021819158072588636,0.000200352456271887,0.000193227872003754,0.0002625986551235748,0.00021919594858007917,0.00026014000856955393,0.00024522100478827405,0.0002454161882126042,0.0001804721499870922,0.00021191053168878048,0.00026026406880317275,0.0002490783000567877,0.00027899545818502403,0.00018551384625496684,0.00017419690564553428,9.813173021040568e-05,0.00010038865600471436,3.8800877400097016e-05,0.00023812179159985353,0.0002646321912331398,9.037092281009058e-05,0.0001002057654866314,0.00011838685349347418,3.300920186200021e-05,5.79328541426746e-05,5.867285651550654e-05,0.00018595055762894703,9.492039220296901e-05,0.00016247277067338875,0.00019593258923473084,0.00030604775404809864,0.0002932227335060684,0.00015337962430766983,0.00023140030329527907,0.00023754930430347447,0.0002023054549819225,0.0002090746540606894,0.0002013687718027003,0.00020766757719803945,0.00010630051459384748,0.00023511683543518317,0.0002390599371099664,0.00017317591639365594,0.00014547679451375092,0.00014209060701861722,0.00013560430719497914,0.00010255634582254353,0.00012536873747124455,0.00017710092954082433,0.00022706263616507623,0.00019535361835452446,0.0002039600972279434,0.00019812303560608576,0.00012799490643014251,0.00019929931011293924,0.00020200086202606357,0.0002497629833614547,0.0002477682374789938,0.0002945188404836744,0.0002865289160941493,0.00029890401588604043,0.0002936981240382351,0.0002983335343678616,0.0002596765912956354,0.0003142974402014342,0.0003179265098342227,0.0002736177936713842,0.0002498802764626624,0.00019316642084372986,0.00024110690388447475,0.0001272064063088247,0.0001418051771767814,0.00031925468786376767,0.000198970308761356,0.0002575327854487867,0.00018646285560192184,0.0002568437628979514,0.00024825824063227247,0.0001902872892673045,0.0001738045554385277,0.00015552455672235993,0.00015964439788854047,0.00018174892466728227,0.0001982204820782156,0.00019188973244299633,0.0002656927717210324,0.00019964670556649503,0.00013358142314056818,0.00016065607290473662,0.00018761165538352302,0.00022949922755564388,0.00022486058915035766,0.00017090389767405643,0.00020097949029771446,0.0002274927773540239,0.00021897660555477116,0.00024046436428752605,0.0002542496691723147,0.0002088945926568231
pt_6_6_4_p4_v10__400,0.0003859571987628904,0.00032208519896036875,0.00033712658432140705,0.00034607752120959125,0.00039119420859070925,0.00034055694850896115,0.0003850234322904869,0.00037134884749313055,0.00038122021505119163,0.00034169255932513324,0.0003440615611269644,0.0003902862578462586,0.0003939411148054256,0.000416383731877579,0.0003762979817884821,0.0003645531095638467,0.00025791145819629714,0.00023264671769831677,0.00021746140978179274,0.00011625582203669891,0.0001130585352121599,0.00010927737949396185,0.00021084737310626603,0.00015582447544912223,0.00017620365396432588,0.00014144855730443079,0.00014471952709830578,0.0003228251551491223,0.0002330384537957379,0.00026302807421771054,0.0003128937621534363,0.00040624102801610967,0.00039376862479032843,6.457507076117452e-05,5.1121551096262646e-05,7.733043903478084e-05,8.127174031576076e-05,0.0001487606912261596,0.0003925943292747111,0.0003808842885061768,0.00015044058821526263,0.0004131703135784641,0.0004246648048503507,0.0003492194941424514,0.00033400920055070855,0.00032980990093134095,0.0003253316492845813,0.00029446333497775296,0.00031750422176383204,0.00037162227798736186,0.0003635757556147459,0.00038711758068383915,0.0003901312345420115,0.0003855501466715818,0.00031293914371896374,0.00034001150946478696,0.0003635295764727512,0.0003811894185661468,0.00039911960788145977,0.00040833516000968574,0.00043903605732021375,0.0004033653412369532,0.00040456983996547654,0.00040846650916707733,0.0004054840514340775,0.00041451625757010584,0.00041853214296813196,0.0003849161996905643,0.00037077428022670494,0.0003384023147156008,0.00036982950247146576,0.00023556736862672924,0.0002125856930638062,0.00022112617945339213,0.0003215644975974512,0.0003645425221923977,0.00035309831533604014,0.0003649521598842952,0.0003870211946090263,0.0003362468392168729,0.00032523828247645097,0.00030069188165221246,0.0002730479830649461,0.00025749353613456103,0.0002623110969778399,0.00029374978994279894,0.00028538585060166753,0.00022992734034411825,0.0002829240205225119,0.0003418794282395602,0.00030602201797954453,0.00037680004508397545,0.00039171000193041305,0.00033878978551074286,0.000287946663688444,0.0003132208935000262,0.00038494327387904195,0.0004311045143971626,0.00042645786154978495,0.0003453924092682221
pt_6_6_4_p4_v10__450,0.0002770274557948989,0.00023061910776518083,0.0001831818625552482,0.0001864750595915905,0.00025187993496195133,0.0002082803637986746,0.0002484528442384564,0.00023692390416017403,0.00024207921750169623,0.00018331744607289206,0.0002083912471535688,0.0002632331649952532,0.0002447482986193772,0.00027209775143598836,0.00020817959638629393,0.0002015595519691098,0.0001207602815757829,0.00011915817268432857,5.918294199911689e-05,0.0002548181506602431,0.00025260087525477443,7.97444711918796e-05,0.00011184584748127892,0.00013576398199918277,3.85993458852805e-05,4.235677354324714e-05,4.74019773001649e-05,0.0001883899805535481,9.431227231501995e-05,0.00016186579384324374,0.00019618306915615636,0.000305576273453291,0.00029311080863691374,0.0001404003713467144,0.0002117389171064659,0.00021857898217253916,0.00021854335631673016,0.00022606316206900647,0.00023365009497285446,0.00023959398337883303,0.0001138530535231855,0.0002654148534803616,0.0002719841265652356,0.0002064652338245332,0.00017461299250754803,0.00017109949519345874,0.0001689599138583813,0.00013493041129358554,0.00015550175916856517,0.00020378575183550512,0.00024810109508682245,0.00022845699732554345,0.00023710536278858218,0.00023055966248857986,0.0001529540830442688,0.00019850617489482002,0.00020162012678526638,0.000245470891471348,0.00024174130376819987,0.0002908701139958116,0.0002918466095997579,0.00029903667379075976,0.0002939498699807601,0.00029829366460727767,0.00025998118211336866,0.0003135942064497586,0.0003178867010403503,0.00027232737307403125,0.00024595897617618725,0.00019312675678362034,0.0002363141538849144,0.0001228812711456534,0.00012328724572362065,0.00030157676751148873,0.00019416217655702814,0.0002530365567573027,0.00020931720251310217,0.00025258950811359385,0.00024407612750049633,0.00019022492533324865,0.0001735651158260943,0.0001562052705994997,0.00015887525813400806,0.0001623425269061502,0.00017853497343153476,0.0001732795992270288,0.0002528797032629256,0.00018001895325151591,0.00014481702316475843,0.0001771595714580185,0.00021077683892245706,0.00022673863886002641,0.0002255695370994416,0.00017581557345820953,0.0002113214530271527,0.0002439918318455776,0.00022483034877887064,0.0002696384878455093,0.0002648274493744351,0.00020331994683448097
pt_6_6_4_p4_v10__500,0.00024750035872489907,0.00017982620179404,0.00018016270665471664,0.0001735017378107152,0.0002523015920254415,0.0002062729725398217,0.00024317600594196632,0.00024666740046095997,0.00024097141467441428,0.0001672235685426016,0.00021900281521170594,0.00026834539817312275,0.00022100336374855385,0.0002504168916284599,0.0001439319356897588,0.0001387277687800985,0.0001561202064205801,0.00014299536946159693,9.534492527123192e-05,0.0003083123932251079,0.000368514686585045,0.0001930329506677968,0.0001581782433835135,0.0001815872900202071,0.00013277270139811962,0.0001610968876483589,0.00015773590956987997,0.00019695328783374074,0.0001300834301203239,0.00017378354306286803,0.0002069264159665664,0.00031740661347297056,0.00030458189522174304,0.00025492630071767894,0.0003350664514600737,0.00034120205399986635,0.0003053522240192168,0.0002723920383480334,0.0001575159076451852,0.00016253550702970696,0.0001604542809995668,0.00018099880301884324,0.0001847299400899099,0.00013680422012398886,9.071603933202275e-05,0.00010598730281796642,0.00011019804362893409,7.687258584514227e-05,8.017814541792517e-05,9.417454893541902e-05,0.0001784752655258957,0.0001564030770887685,0.00015630999086558878,0.00016446702886649913,0.0001024921257624281,0.00017831850748953085,0.00017276784693018806,0.00023942180623804673,0.00019484347249941177,0.00029963932051555744,0.00027244752071766196,0.0003097675176645901,0.000304034639438666,0.00030890612664200186,0.0002522137840149162,0.00032565725694977995,0.0003291407774142668,0.0002829389407688793,0.0002371579561652924,0.00017935418992310977,0.00022762055750417183,0.0001518670693940397,0.00021572395612376032,0.0003917284551052305,0.0001858406937676827,0.00024396458362927482,0.00017252368217271188,0.000241948356033608,0.00023808123173815537,0.00019771046455067658,0.0001579124722805129,0.00014062857108349322,0.00019546683295849972,0.0002132511127899579,0.00023274802910242312,0.00020746306277272936,0.0003198940856042241,0.00022678443968971173,0.00014816799226800357,0.00010708560837186638,0.0001792508287684203,0.00019621903851282973,0.00017336112832541225,0.00013686511379955052,0.00023975603851084245,0.0002651125231873239,0.0002129592721134787,0.00017749425789988926,0.00020761491540024596,0.00021570429348766635
